3329683
/m/0964lh
/m/0964lh
Bruce Coville
1994
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 3
actually 1
amulet 2
and 7
being 1
bring 1
but 2
called 1
cara 6
church 3
clutching 1
deliver 1
diana 1
different 1
do 1
does 1
duck 1
ends 1
expect 1
find 2
followed 1
follows 1
forest 1
friends 1
from 1
gives 1
grandmother 3
her 7
home 3
hunter 1
in 4
instructs 1
into 1
is 5
it 1
ivy 2
leap 1
library 1
luster 2
magical 1
makes 1
me 1
message 1
morris 1
must 1
of 5
off 1
old 2
on 2
one 2
order 2
pursuer 1
queen 1
realize 1
run 1
say 1
seems 1
several 1
she 2
so 1
special 1
stroke 1
tell 1
tells 1
terrified 1
the 14
their 2
they 2
this 2
to 7
top 2
tower 1
twelve 1
unicorns 2
until 1
up 1
wait 1
wanderer 1
way 2
weary 1
were 1
while 1
who 1
world 2
