5297977
/m/0dd6rs
/m/0dd6rs
Steven Barnes

1000 1
1100 1
1700 1
1863 1
1th 4
200 2
420 1
623 2
632 1
a 45
abandon 1
about 1
abu 1
abyssianian 1
abyssinia 5
abyssinians 1
accepted 1
achieved 2
ad 1
adopted 1
adults 1
advanced 1
advent 1
africa 5
african 8
africans 5
after 4
again 1
against 1
age 1
aidan 16
aidans 4
aiden 1
aids 1
airships 1
al 1
alamu 1
alexander 6
alexandria 6
ali 3
all 3
allowed 1
allowing 1
allows 1
almost 1
along 3
also 7
alternate 1
amen 1
america 3
american 1
americans 3
among 2
an 9
analogue 1
and 79
andalus 1
angel 1
angry 1
animals 1
apparently 2
appoint 1
appointed 1
approved 1
arabic 1
arabs 2
are 23
aristocracy 1
armies 1
army 2
around 1
arranged 2
as 34
assigned 1
assistance 2
at 7
atlantic 1
attacked 1
attempt 1
auction 1
away 1
awkward 1
ayatollah 4
azania 1
aztec 3
azteca 1
aztecs 3
aztectoltec 1
baboons 1
barges 1
battle 2
bc 2
be 10
became 4
become 4
becomes 1
been 2
begins 4
being 2
beliefs 1
below 1
betrothed 1
better 1
between 7
beyond 2
bilal 3
bilalian 3
bilalians 1
bilalistan 13
black 3
boats 1
body 2
bonds 1
book 1
border 1
bore 1
both 7
boy 1
boys 2
break 1
brother 1
brothers 1
brought 1
brutal 1
buffalos 1
burial 1
but 4
by 31
california 1
caliph 5
caliphate 1
called 1
came 2
can 2
canals 1
capital 2
captured 1
carried 1
carry 1
carthage 2
centuries 1
century 4
certain 1
chafe 1
changes 1
chaos 1
characters 1
child 3
children 1
china 1
chinese 1
chosen 1
christ 1
christian 2
christianity 2
cities 1
citizens 1
citizenship 1
class 1
classes 1
close 1
coalition 1
coast 1
colonies 1
colonised 1
colonize 1
colony 3
combined 1
come 1
comes 1
common 2
commonly 1
commons 2
companions 1
compete 2
conflict 1
conquest 1
consequences 1
consider 1
considered 1
consists 1
continent 1
continued 1
control 3
controlled 2
convert 1
converts 1
cover 1
create 1
created 1
crossed 1
culturally 1
culture 2
danakil 1
dar 5
daughter 2
day 2
death 4
deathbed 1
deaths 1
defeated 2
defeats 1
descendants 1
despite 1
destroyed 1
destroying 1
destruction 1
develop 1
did 1
die 1
dies 1
difference 1
disease 2
diverse 1
divided 3
divine 1
djibouti 2
does 1
dogs 1
dominance 1
dominant 6
dominated 1
done 2
down 2
driven 1
drives 1
due 4
duel 1
during 3
each 1
early 1
east 2
eastern 1
egypt 12
egyptian 1
egyptians 1
egyptiansabyssinians 1
elder 1
elenya 1
emperors 1
empire 1
empires 1
employed 1
empress 1
end 1
endurance 1
enough 1
enslaved 1
established 2
establishment 1
europe 5
european 4
europeans 4
eventually 4
example 1
exception 1
executive 1
existence 1
exotic 2
expectations 1
explorers 5
failed 1
fall 1
falls 1
families 1
family 3
far 3
father 4
fathers 4
fatima 1
fatimah 1
fatimite 2
fatimites 1
feelings 1
feels 1
female 1
fiefdoms 1
fight 1
fighting 2
fights 1
finally 1
find 2
finds 3
first 2
fled 1
flee 1
flying 1
followers 2
following 2
footboyservant 1
for 9
forced 1
forces 2
forcing 1
form 2
formal 1
forms 1
fought 2
founded 1
four 3
free 2
freed 1
freedom 1
friends 2
friendship 1
from 7
fruits 1
further 2
gabriel 1
gets 1
gift 1
girl 2
gnostic 1
go 1
going 1
gold 1
gospel 1
governors 2
governs 1
great 1
greater 1
greyhounds 1
groups 1
grow 1
growing 1
grueling 1
gupta 1
haaibre 1
had 8
halfandalusian 1
halfgreek 1
hands 1
happens 1
has 4
have 5
he 8
heading 1
heart 1
her 3
herding 1
hero 1
hierarchy 2
him 6
himself 2
his 20
history 2
hold 1
home 1
house 3
houses 2
however 3
huge 1
humiliated 1
hunts 1
ibn 1
if 1
igbo 1
immense 1
immigrants 1
immortal 1
important 1
imported 1
impure 1
in 39
include 1
india 2
infant 1
inferior 1
influence 1
inside 1
instead 1
instructors 1
intertwined 1
intervention 1
into 4
invented 1
involved 1
involvement 1
ireland 1
is 29
islam 5
islamic 4
islamicdominated 1
it 6
its 3
itself 1
jallaleddin 1
jewish 3
jews 2
jobs 1
join 2
joint 1
jubilant 1
judea 2
judiciary 1
kai 19
keep 1
keeps 1
kept 1
killed 1
kingdoms 1
known 8
kraals 1
kush 6
kushi 1
labor 1
laborers 1
labour 1
land 1
landmark 1
language 2
largely 1
last 4
late 1
later 2
laws 4
lead 1
leader 1
leadership 1
leading 1
leave 1
led 1
leg 1
legislative 1
lenient 1
lies 3
life 1
like 2
literally 1
little 1
live 2
location 1
long 1
looked 1
lords 2
lost 1
louisiana 1
love 1
lover 1
lowest 1
maasai 1
made 1
maidservant 1
maintain 1
major 1
majorities 1
majority 2
make 1
male 2
man 1
manage 2
many 3
map 1
marriage 1
marriages 1
married 1
mary 1
masses 2
may 1
meet 2
mentioned 3
merchants 2
merely 1
mesgana 1
mexico 1
middle 5
miscarriage 1
modern 1
monarch 1
monkeys 1
moor 1
moors 2
more 1
mosque 1
most 7
mother 3
mourning 1
move 1
much 7
muhammad 5
muslim 2
must 1
mutual 2
named 2
names 1
nation 1
nations 3
native 7
natives 1
neighboring 1
networks 1
never 1
new 9
newborn 1
nile 1
no 1
north 5
northern 1
not 2
notably 1
novel 1
now 2
occupations 1
ocean 1
oceangoing 1
oceans 1
odere 1
of 85
off 1
officially 1
often 3
old 1
oldest 1
on 4
one 2
only 4
or 6
order 1
organizations 1
originally 1
other 4
our 2
out 2
over 5
overseers 1
overturned 2
own 1
owner 1
pact 2
pagan 1
paid 1
part 3
passage 1
passed 1
paving 1
people 1
perceptions 1
perished 1
persia 1
pets 1
pharaoh 4
pharaohhood 1
pharaohs 1
place 2
plague 1
plantation 2
plantations 1
political 1
politics 1
populations 2
portray 1
possible 1
power 6
powers 1
practice 1
practised 1
prank 1
predominate 1
presumably 1
prevailing 1
primitive 1
princess 2
promise 1
promised 1
promising 1
prophet 2
protected 1
provinces 3
punching 1
punish 1
punishment 2
question 1
races 1
raiders 1
ranching 1
ranges 1
rashid 1
re 1
real 1
received 1
references 1
referred 1
refuses 1
region 1
reigning 1
religion 3
religious 3
remain 2
remained 1
removing 1
repair 1
republic 1
rescued 1
rest 1
result 1
resulting 2
results 1
returning 1
revered 1
revolt 3
rewritten 1
ridgebacks 1
rifles 1
rights 1
rome 3
route 1
royal 1
rule 2
ruled 5
ruler 1
ruling 2
runaway 2
savannah 1
saves 1
saw 1
see 1
selects 1
senate 2
separate 1
separated 2
set 2
setepenamen 1
settled 1
settlers 1
several 2
shaka 1
should 1
shown 1
shrine 4
shy 1
sister 3
site 1
skills 1
slave 6
slavery 2
slaves 13
society 1
sold 3
something 1
son 4
sons 2
source 1
south 1
southeastern 1
southern 2
spared 1
stand 1
stands 1
start 1
state 4
states 1
status 1
steamboats 3
still 1
stopped 1
story 3
stretching 1
strong 1
stronger 1
subsaharan 1
such 2
suffers 1
sufism 1
suit 1
supplied 1
surviving 2
suspicious 1
swears 1
swept 2
take 1
taken 4
takes 3
teachings 1
technologically 1
territories 2
territory 1
texas 1
that 12
the 173
their 9
them 7
themselves 1
theocracy 1
