28163284
/m/0cm82wp
/m/0cm82wp
John Brunner

1588 1
188 1
20th 1
a 39
able 2
accept 1
acquisition 1
act 1
adept 1
adventurer 1
after 1
against 2
agenda 1
air 1
alerts 1
all 3
already 1
alteration 1
alternate 1
amazement 1
ambassador 1
american 1
americans 2
an 7
analogue 1
and 26
antimohawk 1
anxiety 1
any 1
appearing 1
arcimboldo 1
are 1
armada 1
arrest 1
arrives 2
art 1
as 6
asia 1
assailants 1
assassinated 1
assaulted 1
assembled 1
assumed 1
at 7
attempts 1
attending 1
avoid 1
aztec 2
back 1
backwater 1
ball 1
barton 1
be 2
because 1
becomes 1
been 3
before 1
begin 1
between 1
bit 1
blood 1
bloody 1
blow 1
boomeranged 1
bound 1
bring 1
build 1
burning 1
but 8
by 8
cadiz 1
california 2
can 1
care 1
carefully 1
castile 1
central 1
century 1
changed 1
changes 1
changing 1
city 3
clear 2
clearly 1
clogging 1
collapse 1
coming 1
commander 2
concludes 1
confederacy 2
confirms 1
conspiracy 1
contact 1
contacted 1
contraband 1
converse 1
convince 1
crafted 1
creating 1
crosstemporal 1
cunning 1
dangerous 1
daughter 1
deal 1
deaths 1
decides 1
defuse 1
destroyed 1
determined 2
developments 1
di 1
dignitaries 1
disclosing 1
discovered 1
discovers 1
discovery 1
disrupting 1
dogs 9
don 18
down 2
dozens 2
dressed 1
drill 1
duty 2
earl 1
earlier 1
easily 1
east 1
eastern 1
emerging 1
empire 5
encounter 1
encountering 1
end 2
engage 1
engaged 1
engineer 1
ensuing 1
ensure 1
entire 1
entrusted 1
episode 1
escalation 1
escapes 1
europe 1
europeans 1
eve 1
even 1
event 1
eventually 2
evidently 1
exact 1
exiles 1
exists 2
expedition 1
experience 1
experiments 1
explanation 1
explore 1
fact 1
failed 1
fared 1
farreaching 1
father 7
fearing 1
feeling 1
female 1
finds 2
fleet 1
for 4
forwardly 1
found 1
from 8
fullscale 1
genius 1
gift 1
given 1
god 1
gold 3
goods 1
governmental 1
great 1
grieveous 1
group 2
hacienda 1
had 3
hands 1
hangs 1
has 2
have 4
having 3
he 10
headquarters 2
held 1
her 4
herself 1
highly 1
him 3
himself 2
his 7
history 2
honored 1
hopes 1
horror 1
host 1
hostess 1
how 1
however 3
human 1
illegal 1
immobilize 1
in 24
indeed 1
insists 1
instantly 1
intend 1
interfere 1
into 2
invention 1
investigation 2
is 18
it 7
its 1
itself 1
jorque 1
keeping 1
killed 1
kind 1
king 1
knock 1
knowledge 2
knows 2
kristina 1
lady 1
land 1
last 1
later 1
launches 2
leader 1
leading 1
leads 1
learns 1
leave 2
leaves 1
lest 1
licentiate 2
licentiates 1
life 1
local 1
londres 1
lonely 1
longer 2
machine 1
madrid 1
make 1
man 2
manipulate 1
marked 1
marquesa 1
martial 1
mask 1
mass 2
massacre 1
master 1
meanwhile 1
meets 1
melee 1
members 1
men 1
miguel 17
military 1
mine 2
mining 2
minute 1
mob 1
mongol 1
monopoly 1
more 1
most 1
mounting 1
much 1
named 1
native 3
navarro 1
near 1
needing 1
never 1
new 5
no 5
nobleman 1
not 2
now 1
number 1
obscure 1
of 48
off 1
on 2
one 2
only 1
operation 1
ordinary 1
other 1
out 6
overtaken 1
own 2
painful 1
palace 3
panicked 1
park 1
parma 2
party 2
passersby 1
past 6
people 2
person 1
pivotal 1
place 2
planted 1
plot 1
powers 1
present 1
preservation 1
preserve 1
prevent 2
price 1
primary 1
prince 3
proceeding 2
prominent 1
prompting 1
ramn 7
rape 1
rarely 1
reader 1
reality 3
realizes 1
realizing 1
reason 1
received 1
recently 2
recognize 1
recognizing 1
reflecting 1
regulating 1
relations 1
relaxing 1
return 3
returning 1
rites 1
rock 1
ruiz 1
rules 1
rush 1
rushing 1
ruthless 1
sacrifice 1
scene 1
scouting 1
search 1
secondincommand 1
secret 2
secretly 1
seek 1
seeking 1
seeming 1
sends 1
senior 1
shaken 1
she 2
shows 2
site 1
skillful 1
society 8
some 2
somebody 1
sound 1
spearheading 1
special 1
spot 1
started 1
steel 1
still 2
stopped 1
streets 2
succeeded 1
success 1
superiors 1
swedish 1
take 1
taken 2
taking 2
tension 1
than 2
that 12
the 79
their 3
them 1
themselves 2
then 1
theoretician 1
there 3
these 1
they 2
thin 2
this 4
though 2
thread 1
time 10
timeline 5
timelines 1
timetravel 2
to 33
transported 1
travel 4
traveling 1
travels 2
treaty 1
turns 3
two 12
unconscious 1
undercover 1
undo 1
unknown 1
unmasking 1
unusually 1
upon 2
urgently 1
use 2
used 1
vacation 1
version 1
villain 1
violation 2
virtually 1
visited 1
walking 1
warning 1
warriors 1
was 1
wave 1
well 1
west 1
what 1
when 2
where 4
which 7
while 6
who 5
will 1
with 4
woman 2
working 1
world 2
worse 1
would 2
year 1
york 1
young 1
