5111325
/m/0d340r
/m/0d340r
Thomas King
1989
a 10
about 1
advisor 1
although 2
amiable 1
among 1
an 4
and 4
any 2
appropriate 1
as 1
at 1
audience 1
be 1
because 1
become 1
becomes 3
been 1
better 1
by 1
canada 2
canadian 1
chapters 1
chronicles 1
colourful 1
community 2
contemporary 1
conversational 1
creates 1
cultural 1
curriculum 1
daughter 1
debunks 1
develops 1
divided 1
drawing 1
earlier 1
echoes 1
eighteen 1
enters 1
eventually 1
existence 1
expectations 1
experience 1
fashion 1
fatherfigure 1
first 2
flashbacks 1
for 2
foreigner 1
frequent 1
from 1
group 1
halffulfilled 1
harder 1
has 1
he 2
her 1
high 1
his 1
history 1
homecoming 1
humorously 1
in 6
included 1
inhabit 1
interest 1
into 1
is 7
it 3
jurisdictions 1
kind 2
king 1
learn 1
life 1
little 3
live 1
lives 2
longer 1
louise 2
love 1
makes 2
man 1
many 1
medicine 4
meets 1
middleaged 1
more 1
much 1
nation 1
nations 1
native 1
nonnative 1
novel 4
of 12
on 1
one 1
ongoing 1
oral 1
order 1
part 1
past 1
people 4
places 1
portions 1
protagonist 2
readers 2
reading 1
recounted 1
reflect 1
relationship 1
represents 1
return 1
river 4
same 1
sampson 1
school 1
seem 1
series 1
short 1
shows 1
simple 1
simply 1
south 1
stereotypical 1
story 2
storytelling 1
style 1
teaches 1
that 3
the 19
they 2
think 1
thomas 1
time 1
to 5
told 1
town 2
unfulfilled 1
very 1
voice 1
way 1
western 1
who 1
whole 1
whom 1
will 6
wing 1
with 2
writes 1
written 1
yet 1
young 1
