833834
/m/03fmzz
/m/03fmzz
Willa Cather
1912
a 9
about 4
afraid 1
after 5
again 2
alexander 4
alexanders 2
alone 1
also 1
america 2
an 1
and 15
angel 1
anger 1
another 2
apart 1
are 2
arrives 1
as 1
asks 2
at 4
attempted 1
attending 1
attracted 1
aunt 1
away 1
back 5
bar 1
bartley 10
battles 1
be 3
because 1
been 1
before 1
beggar 1
body 2
boston 1
bound 1
bridge 7
bridges 1
broke 1
burgoyne 1
but 2
by 4
called 1
canada 4
cannot 1
chords 1
christmas 2
close 1
collapses 1
comes 2
compromising 1
concludes 1
congress 1
construction 1
contact 1
crews 1
day 6
dead 1
death 1
dinner 3
discovers 1
distressed 1
doesnt 1
due 1
earlier 1
earrings 1
else 1
entire 1
erstwhile 1
eve 1
even 1
evening 1
expresses 1
failing 1
finally 1
first 1
foggy 1
following 1
for 4
forget 1
friends 1
from 2
gales 1
gambles 1
getting 2
gives 1
go 1
goes 2
going 1
greeted 1
had 2
halt 1
has 2
haunted 1
have 1
having 1
he 19
held 1
her 17
hilda 7
him 9
his 6
home 1
horton 3
hotel 1
house 5
how 2
however 1
hugh 1
husband 3
idea 1
if 1
in 13
inspect 1
integrity 1
into 2
is 9
isnt 1
japan 1
jealousy 1
just 1
killing 1
lady 2
last 1
later 6
latter 1
leave 2
let 1
letter 2
like 1
live 1
lives 1
london 3
look 1
love 1
lover 1
lower 1
macconnell 1
mad 1
madame 1
mainhall 1
man 1
many 2
marry 1
maurice 1
meets 1
met 2
mr 1
mrs 1
must 1
new 1
newspapers 1
next 2
not 1
of 6
on 6
once 2
one 2
out 1
over 1
party 2
pearl 1
philip 1
piano 1
play 1
plays 1
professor 1
prompts 1
psychologists 1
reading 1
ready 2
receives 1
recovered 1
relationships 1
reminds 1
reminisce 1
reminisces 1
return 1
room 1
saying 1
says 2
see 2
seen 1
sharp 1
she 15
ship 1
sing 1
someone 1
soon 1
spend 1
starring 1
stopping 1
street 1
structural 1
success 1
taken 1
takes 2
talk 1
talked 1
talks 1
tell 1
tells 3
that 3
the 25
them 1
thence 1
there 1
they 5
thinks 1
this 1
through 1
thursday 1
to 23
together 1
too 1
trouble 1
two 1
up 1
very 1
visit 1
visits 2
walks 2
warford 2
was 3
where 2
wife 2
will 5
wilson 4
winifred 3
with 6
work 1
workers 1
year 1
years 1
youth 1
