9888993
/m/02777q4
/m/02777q4
Obert Skye
2006
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 5
across 1
adversaries 1
after 1
alive 1
all 1
an 1
and 9
as 4
bad 1
band 1
be 1
begins 1
buried 1
but 1
chaos 1
continues 1
could 1
courage 1
deadly 1
deranged 1
destroying 1
determined 1
digs 1
discover 1
do 1
dreammaster 1
escaping 1
even 1
fate 1
finds 1
foo 2
forest 1
friends 1
from 1
gateway 1
geth 2
goes 2
hands 1
have 1
he 2
hidden 1
him 1
his 3
hope 1
if 1
in 3
inner 1
is 2
it 2
journey 1
keep 1
king 1
leven 4
long 1
must 2
never 1
nothing 1
now 1
of 1
once 1
one 1
order 1
overcome 1
planned 1
possible 1
power 1
restore 1
right 1
rightful 1
save 1
secret 1
several 1
shape 1
stalks 1
still 1
strength 1
succeed 1
survive 1
swollen 1
that 2
the 5
they 1
thought 1
through 1
thumps 1
to 7
toothpick 1
travelers 1
truth 1
up 1
was 1
what 1
whisper 1
will 1
wonder 1
worse 1
would 1
wrong 1
