7596049
/m/02667tm
/m/02667tm
Yukio Mishima

14 1
22 1
28 1
a 11
affair 1
after 1
age 1
an 1
and 4
ants 1
as 5
asides 1
at 2
attempts 1
be 1
beautiful 1
beginning 1
boiling 1
book 1
both 1
bright 1
bring 1
brooding 2
but 1
buying 1
centers 1
child 1
climax 1
colony 1
comes 1
consciousness 1
control 1
couldnt 1
dark 3
death 1
develop 1
develops 1
down 1
drawn 1
drowning 1
eczema 2
etsuko 3
experience 1
face 1
falls 1
fatherinlaw 1
feelings 1
flashbacks 1
focus 1
focusing 1
following 1
for 3
foreboding 1
from 2
gardener 1
gift 1
gradually 1
has 1
having 1
he 1
her 6
hide 1
house 1
husband 1
impending 1
in 7
inlaws 1
intense 1
interest 1
interlaced 1
interspersed 1
into 2
is 4
it 1
itch 1
its 2
itself 1
just 1
lying 1
lyrical 1
maid 1
mishima 1
miyo 1
moments 1
month 1
moved 1
much 1
mutilated 1
narrative 1
notable 1
novel 2
numbs 1
oblivious 1
observations 1
obsession 1
october 1
of 12
on 2
opens 1
or 1
out 2
over 2
pair 1
particularly 1
period 1
petals 1
physical 1
pleasure 1
pnbsp134 1
progresses 1
radical 1
rainwater 1
reaches 1
reader 1
reflecting 1
reflections 1
relationship 1
repulses 1
reveals 1
romantic 1
rose 1
ryosuke 1
saburo 2
scenes 1
september 1
series 1
sharp 1
she 3
socks 1
spins 1
starkly 1
story 2
stream 1
sunbursts 1
taking 1
tend 1
text 1
the 16
there 1
these 1
through 1
times 1
to 6
tragedy 1
turns 1
typhoid 1
violent 1
was 1
water 1
when 2
which 3
who 2
with 6
without 1
woman 1
writing 1
writings 1
yakichi 2
young 1
