5927277
/m/0fdy6d
/m/0fdy6d
Kristen Britain
1998-11
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/03qfd": "High fantasy"}
a 16
ability 1
addressed 1
after 2
again 1
also 3
always 1
amilton 2
an 2
and 10
any 1
appears 2
approaches 1
aristocrat 1
arrows 1
as 6
away 1
back 1
battle 2
beautiful 1
behaviour 1
being 1
berry 1
bested 1
beware 1
black 1
bodyguards 1
both 1
breath 1
brooch 1
brother 2
but 1
by 3
called 2
captain 1
care 1
carry 1
cast 1
character 1
chiefs 1
city 3
clan 1
cloak 1
closer 1
coblebay 5
condor 1
confused 1
contain 1
country 1
court 1
crown 1
dangerous 1
dangers 1
daughter 1
dean 1
death 1
decoded 1
deliver 1
delivered 1
delivering 1
delivers 2
denied 1
desperate 1
desperately 1
dishonorable 1
dismay 1
due 2
duel 1
during 1
dying 1
either 1
elder 1
eletian 2
eletians 1
elflike 1
elite 1
encounters 1
entrusts 1
estora 2
even 1
eventually 1
everyones 1
expulsion 1
family 1
father 1
felt 1
following 2
follows 2
for 4
forest 1
from 3
fryan 4
gained 1
geyer 1
ghost 1
ghosts 1
given 1
gladheon 1
gold 1
green 6
group 1
hailed 1
hands 1
has 1
have 1
he 2
help 1
her 11
hillander 1
himself 1
his 8
home 1
horse 3
importance 1
important 1
in 5
inaccuracies 1
including 1
infiltrated 1
inspection 1
into 2
involving 1
is 8
it 2
journey 2
justified 1
karigan 11
kill 1
kills 1
king 5
kings 1
lady 2
laren 2
last 1
leaves 1
legendary 1
less 1
letter 9
letters 1
life 2
like 1
lost 1
love 3
makes 1
manshe 1
many 1
meets 2
members 1
merchant 1
message 1
messengers 1
more 1
munariel 1
mystical 1
name 1
navigate 1
needed 1
not 2
nothing 1
noticed 1
of 18
office 1
on 1
one 1
only 2
or 1
orders 1
out 1
over 1
passes 1
paths 1
people 1
perilous 1
plot 1
private 1
promise 1
protruding 1
providing 1
province 1
race 1
rank 1
reaches 1
read 1
reading 1
real 1
reveal 1
revealed 1
rider 4
riders 1
rides 1
right 1
rogue 1
rule 1
running 1
sacor 3
safe 1
safety 1
sake 1
school 1
second 2
seemingly 1
selium 1
service 1
shadow 1
shadowman 1
shame 1
shameful 1
shawdell 1
she 9
sisters 1
special 1
swear 1
symbol 1
takes 2
the 43
then 2
there 2
throne 2
through 1
throughout 1
to 21
traitorous 1
travels 1
trust 1
two 2
uncanny 1
urging 1
various 1
warned 1
was 3
wealthy 1
weapons 1
when 2
which 3
whispers 1
who 3
whose 1
winged 1
with 3
wraith 1
zachary 3
