12216144
/m/04y5p_4
/m/04y5p_4
Graham Greene

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 4
about 1
acting 1
action 1
an 1
and 3
arthur 1
as 2
at 1
becomes 1
behalf 1
blitz 1
bombs 1
by 2
cake 2
caught 1
charity 1
city 1
contains 1
doesnt 1
during 1
fa 1
foe 1
friend 1
from 1
fte 1
germany 1
given 1
he 2
heaney 1
him 1
his 2
in 3
increasingly 1
international 1
irish 1
is 2
know 1
later 1
london 1
message 1
mistake 1
moment 1
nazi 1
novel 1
of 1
on 1
out 1
plays 1
poet 1
pound 1
prize 1
ring 1
rowe 2
ru 1
school 1
seamus 1
secret 1
spy 1
takes 1
the 6
time 1
title 2
to 1
uncertain 1
up 1
used 1
very 1
was 2
who 2
wins 1
