27412627
/m/0c034hp
/m/0c034hp
Waguih Ghali
1964
a 3
accustomed 1
acquiescence 1
allows 1
and 5
are 1
at 1
aunts 1
bar 1
bass 3
be 1
beer 1
behind 1
between 2
but 1
cairo 1
choose 1
cultures 1
dangerous 1
do 1
drank 1
during 1
egypt 1
engraved 1
far 1
font 3
for 1
from 2
hang 1
have 1
heady 1
in 3
is 1
jameel 1
leisure 1
life 1
live 1
london 1
long 1
make 1
many 1
mixture 1
mugs 2
must 1
names 1
nasser 1
neither 1
no 1
nor 1
of 4
opposition 1
people 1
pint 1
political 1
ram 3
reluctant 1
revolution 1
rich 1
serves 1
so 1
stranded 1
that 1
the 4
their 2
there 1
these 1
they 3
to 4
together 1
two 2
vodka 1
whisky 1
with 2
yearning 1
years 1
