12935027
/m/02z0hqb
/m/02z0hqb
Antoni Lange
1924

a 3
about 1
an 1
anarchy 1
and 6
antiwork 1
as 1
between 1
body 1
brahmins 1
by 1
can 1
chapter 1
civilisation 1
clash 1
classified 1
close 1
comes 1
consciousness 1
contact 1
country 1
damayanti 4
death 1
dies 1
disappears 1
emigrant 1
end 1
existence 1
fly 1
free 1
freedom 1
from 1
have 1
he 1
her 2
higher 1
his 1
history 1
human 1
idea 1
ideal 2
in 5
invited 1
is 4
jan 2
lange 1
last 1
lenore 1
let 1
levitation 1
like 1
lives 1
love 3
mages 1
main 1
materialization 1
materialize 1
medium 1
mediumism 1
meets 1
ministry 3
miranda 2
moment 1
mysterious 1
named 1
nivridium 1
novel 2
of 13
order 2
organized 1
own 1
paranormal 1
peace 1
person 1
physical 1
plot 1
podoboczny 2
polish 1
porteparole 1
power 1
powerful 1
romance 1
sacrifices 1
scottish 1
selfperfect 1
she 1
sides 1
skills 1
soul 1
spirit 1
spiritual 2
stage 1
strange 1
substance 1
telepathy 1
tells 1
the 10
their 3
they 1
to 4
tragic 1
use 1
value 1
warsaw 1
when 2
which 1
who 2
wisdom 1
woman 1
