14932225
/m/03h23k1
/m/03h23k1
Jo Walton
2008-09-30
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
activities 1
adolf 1
alternate 1
an 1
and 4
at 1
authoritarian 1
become 2
book 1
british 1
by 1
called 1
carmichael 1
country 1
deal 1
did 1
dissidents 1
fascist 1
flee 1
formerly 1
government 1
has 1
he 1
head 1
helping 1
his 3
history 1
hitler 1
ii 1
illicit 1
in 2
inside 1
inspector 1
intrigue 1
involved 1
is 2
jealous 1
jews 1
keeping 1
kingdom 1
made 1
must 1
not 1
now 1
of 2
peace 1
peter 1
police 2
political 1
position 1
safeguard 1
scotland 1
secret 2
set 1
states 1
teenage 1
the 7
those 1
thriller 1
to 1
united 2
war 1
ward 1
watch 1
which 1
while 1
who 1
wish 1
with 2
world 1
yard 1
