9178310
/m/027_b1r
/m/027_b1r
Sidney Poitier
2000

2002 1
5704846 1
a 9
about 1
acting 1
actor 1
affecting 1
after 2
aimed 1
an 2
and 25
artistic 1
as 6
at 1
autobiography 1
automobile 1
back 1
bahamas 1
barrier 2
broke 1
brothers 1
by 2
career 2
cat 1
celebrated 1
character 1
characters 1
childhood 1
chinese 1
chose 1
coming 1
commitment 1
commitments 1
committed 1
company 1
complicated 1
condition 1
could 1
craziness 1
credits 1
dad 1
distractions 1
does 1
done 1
dramatically 1
elements 1
emerges 1
endure 1
enjoy 1
equipping 1
explores 2
face 1
father 1
few 1
find 1
fongfong 1
for 3
forceful 1
forgiveness 1
grew 1
has 1
have 1
he 4
him 1
his 10
honor 1
human 1
humility 1
husband 1
i 1
icon 1
in 9
indoor 1
integrity 1
introduction 1
invaluable 1
is 3
isbn 1
island 1
it 1
just 1
kbe 1
kind 1
lasting 1
launch 1
legacy 1
life 3
limits 1
living 1
long 1
looks 1
man 2
material 1
matters 1
meaning 1
measure 1
memoir 1
momma 1
most 1
nature 1
never 1
notion 1
obscure 1
of 13
olivia 1
on 2
one 2
own 2
parents 2
paying 1
personal 2
picture 1
pioneering 1
place 1
play 1
plumbing 1
poitier 6
positive 1
price 2
public 1
published 1
publishing 1
pursued 1
racial 2
radio 1
rage 1
recalls 1
right 1
sacrifice 1
said 1
sea 1
selfworth 1
sense 1
shaped 1
shows 1
sidney 2
simple 1
sir 2
sistersand 1
smell 1
something 1
sound 1
states 1
surrendered 1
taipei 1
taiwan 1
take 1
television 1
that 4
the 22
things 1
this 2
tiny 1
to 7
translation 1
triumph 1
true 1
uncompromising 1
unflinching 1
united 1
up 1
upbringing 1
useful 1
values 1
voice 2
was 1
wei 1
well 1
what 4
where 1
who 2
wind 1
with 1
without 1
world 2
wrong 1
year 1
years 1
you 1
your 2
