659049
/m/02p2sm4
/m/02p2sm4
Patrick O'Brian
1995
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
5000 1
a 11
ably 1
accompanied 1
accounts 1
admiralty 1
adventures 1
africa 2
african 1
after 3
aided 1
also 4
america 1
among 1
amounts 1
an 3
and 28
animals 1
another 1
appears 1
are 3
around 1
as 3
asks 1
assisted 1
at 5
attack 1
attacking 1
attacks 1
aubrey 4
back 1
badly 1
baltimore 1
bank 1
battle 2
be 2
begins 1
being 2
bellona 1
benedictine 1
berenice 1
berlings 1
birds 1
black 1
blaine 5
boats 1
both 1
bout 1
bow 1
brigid 3
british 1
but 1
by 8
cape 1
captain 2
captains 3
captured 1
care 1
carried 1
carriers 1
cash 1
chile 1
christine 1
clarissa 5
clipper 1
closes 1
club 1
clutches 1
coast 1
colonial 1
commanded 2
committed 1
commodore 2
condemned 1
considerable 1
conspiracy 1
conspirator 1
contracted 1
cork 1
corunna 1
crewmen 1
crews 2
daughter 1
delayed 1
deposits 1
destroys 1
diana 2
difficult 1
discipline 1
disrupt 1
disrupts 1
do 1
does 1
down 1
due 1
duff 2
duke 6
dundas 1
east 1
eastwards 1
efficiency 2
eight 1
employed 2
england 1
escapes 1
esprittranquil 1
esteemed 1
even 1
expected 1
expects 1
extensive 1
fact 1
fatal 1
fellow 1
fever 1
find 1
finds 2
finisterre 1
first 2
fled 1
flees 1
flogs 1
following 1
for 4
force 1
forecastlemen 1
formed 1
former 1
four 1
freetown 1
french 6
friend 1
friends 1
frigate 4
from 2
galicia 1
gather 1
gold 1
good 1
governor 1
guinea 1
gulf 1
habachtsthal 2
had 1
happens 1
happily 1
hard 1
harm 1
has 3
hastens 1
hatherleigh 1
have 2
having 2
he 2
hearing 1
her 2
herself 1
highly 1
hires 1
his 12
house 1
husband 1
identified 1
idiot 1
illegal 1
in 14
indiscriminately 1
influence 1
information 3
informs 1
instead 1
instigated 1
instructed 1
intercept 1
into 1
invasion 1
investigation 3
ireland 1
irish 2
is 9
it 1
jack 3
join 1
joseph 2
language 1
latter 1
leaving 1
led 1
ledwardwray 1
leg 1
live 1
living 1
loses 1
lovers 1
lowering 1
maistral 1
make 1
makes 1
maturin 5
mauls 1
medal 1
meet 1
meets 1
members 1
mission 1
more 3
much 1
native 1
natural 1
naturalist 1
ne 1
near 2
newlywidowed 1
note 1
novel 1
now 1
oak 1
oakes 2
odds 1
of 24
off 3
on 3
once 2
one 4
opens 1
or 1
other 1
out 3
over 1
pacific 1
padeen 2
paederast 1
pardons 1
part 1
pennantship 1
placed 1
plan 1
point 1
polish 1
possibly 1
powerful 1
practising 1
pratt 2
proceeds 1
publicly 1
pyramus 1
quest 1
rare 1
reach 1
reassigns 1
rendezvouses 1
replacing 1
returned 1
reunited 1
reverse 1
revolt 1
ringle 4
rocky 1
role 1
royal 2
runner 1
safely 1
saving 1
scene 1
search 1
second 1
sees 1
sets 1
shelf 1
ships 1
sir 2
sister 1
situation 1
slave 2
slaves 1
slaving 1
smaller 1
society 1
soon 1
south 3
spain 1
speak 1
spit 1
squadron 6
stately 3
stephen 10
street 1
strikes 1
successfully 1
suicide 1
supposed 1
surrenders 1
survives 1
swamplands 1
sympathetic 1
taken 1
taking 1
tells 1
thames 2
than 1
that 6
the 65
their 3
themselves 1
then 2
these 1
they 1
third 1
this 2
thomas 1
threat 1
threatening 1
time 1
to 19
told 1
too 1
trade 2
traipsing 1
treason 1
trial 1
troop 1
true 1
two 1
twodecker 1
tyrant 1
unable 1
uncles 1
unfortunately 1
unlike 1
use 1
usual 1
values 1
very 1
vila 1
wards 1
warwick 1
way 1
welcome 1
well 1
west 3
when 2
where 2
which 2
while 1
who 4
whom 1
wife 2
wily 1
winning 1
with 7
wood 1
yellow 1
young 2
