9396346
/m/02875f2
/m/02875f2
Geoffrey Stewart


173 1
2005 1
21day 1
a 5
addition 1
adult 1
adventures 1
after 1
again 1
all 2
alone 1
along 1
also 1
an 1
and 4
appeal 1
are 2
as 2
atlantic 1
author 1
be 2
birds 1
bit 1
boat 1
book 2
but 1
by 1
can 1
canals 1
canary 1
checking 1
coast 1
continuing 1
covers 1
crossing 1
dedicated 1
describing 1
desire 1
dont 1
down 1
earlier 1
experiences 1
find 1
finishes 1
following 1
for 1
french 1
games 1
gibraltar 1
giggling 1
go 1
he 1
his 3
i 3
if 1
ill 1
in 3
inmost 1
insignificance 1
is 2
islands 1
it 1
kerstin 1
let 1
life 2
living 1
love 1
loving 1
main 1
make 1
mediterranean 1
merely 1
mine 1
muse 1
my 4
never 1
not 1
ocean 1
of 1
one 2
open 1
or 2
out 1
perhaps 1
person 1
place 1
poem 1
poet 1
pouting 1
published 1
real 1
relates 1
sailing 1
same 1
search 1
self 1
set 1
sex 1
should 1
silly 1
so 1
swedish 1
that 2
the 15
theme 1
these 1
this 3
through 1
time 1
to 4
took 1
true 1
until 1
up 1
voyage 2
voyaging 1
wander 1
want 1
was 1
wasnt 1
watching 1
we 1
well 1
while 1
whole 1
with 1
woman 1
would 1
you 2
