9115644
/m/027y6s8
/m/027y6s8
Heinrich Spoerl
1933
a 5
about 1
adolescent 1
after 1
and 4
as 2
at 2
attended 1
because 1
bmmel 1
by 2
charade 1
classmates 1
consumed 1
crey 1
daughter 1
decides 1
discloses 1
dr 1
eventually 1
exchanging 1
expelling 1
falls 1
feuerzangenbowle 1
foolish 1
for 1
from 1
gains 1
gentlemen 1
girlfriend 1
give 1
group 1
he 5
headmaster 1
headmasters 1
high 1
him 2
his 5
home 1
identity 1
in 2
into 1
it 1
johannes 1
knauer 1
love 1
make 1
marion 1
masquerading 1
mischief 1
missed 1
never 1
nostalgic 1
of 1
on 1
opening 1
out 1
persuade 1
pfeiffer 1
prankster 1
professors 1
provoking 1
punch 1
quickly 1
realizes 1
refers 1
reputation 1
scene 1
school 3
schooldays 1
small 1
something 1
stories 1
student 1
successful 1
taught 1
teachers 1
the 6
their 1
title 1
to 4
together 1
torments 1
town 1
tries 1
unsuccessfully 1
up 2
was 1
while 1
with 3
writer 1
young 1
