13232532
/m/03bzngg
/m/03bzngg
Jodi Picoult
2001
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel"}
a 21
abandons 1
about 2
abusing 1
accept 1
accidental 1
accidentally 1
accused 2
active 1
addie 8
after 3
against 1
agrees 2
all 1
also 2
although 1
amos 3
amounts 1
an 5
and 19
apologises 1
appears 1
are 3
around 1
as 6
assault 1
assaulting 1
assisted 1
assisting 1
at 4
attack 1
attitude 2
attracted 1
attraction 1
aware 1
away 1
bacterial 1
battling 1
be 2
because 3
becomes 1
been 4
begin 1
begins 1
being 1
believe 2
believes 1
beltane 2
best 1
blood 2
book 1
breast 1
businessman 1
by 3
cast 1
cause 1
celebrating 1
change 1
charge 1
charlie 5
chelsea 3
child 1
chloe 2
claims 2
clique 1
clues 1
compulsive 1
confides 1
conscience 1
conspired 1
contact 1
continue 1
convicted 1
convinced 1
coowns 1
could 1
coven 1
crusader 1
damascus 1
daughter 3
death 2
defended 1
department 1
details 1
didnt 1
diner 2
discovered 1
dishwasher 1
disturbed 1
do 1
does 3
doing 1
doubt 1
down 1
drugs 2
due 1
duncan 1
educated 1
eight 1
ends 1
england 1
entire 1
evidence 1
exam 1
experiment 1
extreme 1
fall 1
falls 3
falsely 1
father 3
final 2
finds 1
flashback 1
for 5
found 1
fresh 1
from 3
game 1
gangraped 1
get 1
gets 1
gillian 10
girls 2
given 1
guilty 2
halfway 1
hallucinations 1
hallucinogen 1
hampshire 2
handbook 1
has 2
have 3
having 2
he 10
her 16
high 1
highly 1
him 1
hired 1
hires 1
his 12
holiday 1
house 1
however 1
identity 1
if 1
improvised 1
in 12
inappropriate 1
inappropriately 1
incident 1
initial 1
innocence 1
interest 2
into 1
intoxicated 1
is 18
it 8
jack 16
jordan 7
kitchen 1
knew 1
known 1
labeled 1
law 1
lesser 1
liar 1
lie 1
life 1
like 1
likely 1
local 2
lying 1
mails 1
make 1
manages 1
manipulative 1
manner 1
matter 1
mcafee 2
meg 5
meningitis 1
months 1
most 1
mother 3
mourning 1
move 1
mutual 1
never 1
new 4
night 3
no 2
not 5
novel 2
of 20
offender 1
offers 1
old 1
on 5
one 2
operates 1
otherwise 1
owner 1
paragraph 1
part 1
past 3
peabody 2
pleads 1
police 1
policeman 1
prevailing 1
previous 1
prison 1
private 2
prominent 1
pronounced 1
proof 1
prostitutes 1
protect 1
psychiatric 1
public 1
quickly 1
rape 1
raping 1
reasonable 1
recall 1
reconcile 1
record 1
records 1
refuses 1
register 1
relationship 2
reluctantly 1
remembers 1
report 1
reports 1
required 1
reveal 1
revealed 4
revealing 1
reveals 1
revolves 1
rights 1
romantic 1
ruin 1
run 1
running 1
salem 3
samples 1
saved 1
saving 1
school 2
screening 1
see 1
seems 2
selena 2
semen 1
sentence 1
sentenced 1
serving 1
sex 1
sexual 1
sexually 2
shadows 1
she 6
should 1
showed 1
since 1
sixteen 1
slut 1
so 3
something 1
son 1
soon 1
sources 1
start 1
state 1
stay 1
students 1
stumbles 1
system 1
take 1
takes 3
taking 1
teacher 1
teenage 1
tell 1
ten 1
testimony 1
tests 1
that 15
the 28
their 1
them 3
then 2
there 1
therefore 1
they 3
thigh 1
thinks 1
this 3
thomas 3
though 1
through 2
throughout 1
time 1
to 28
together 1
too 1
touched 1
touching 1
towards 1
town 1
toxicologist 1
trial 2
true 1
turned 1
twist 1
unable 1
under 1
unravel 1
up 1
upon 1
uses 1
via 1
wanders 1
want 1
wants 1
was 6
were 1
when 4
where 1
which 2
while 2
whitney 1
who 6
whom 1
wicca 1
wiccan 1
witch 2
witchcraft 1
with 8
without 1
woman 2
women 1
woods 1
would 1
years 1
york 1
young 2
