4659963
/m/0cfxzf
/m/0cfxzf
Michel Houellebecq
2005-01
a 3
about 2
alternatively 1
an 1
and 7
any 1
are 3
around 1
as 1
bored 1
but 1
by 1
cant 2
change 1
characters 1
cities 1
civilization 1
climate 1
clones 3
comedian 1
confronted 1
consumer 1
current 1
daniel 3
despite 1
destroyed 1
different 1
disgruntled 1
either 1
enjoy 1
escape 1
first 2
from 1
future 1
gets 1
have 1
he 2
hedonist 1
hermits 1
his 4
human 1
humans 1
huntergatherer 1
in 4
is 3
it 1
items 1
its 2
knowledge 1
last 1
legs 2
life 3
lifestyle 1
live 2
living 1
love 1
main 1
meanwhile 1
natural 1
nature 1
nuclear 1
of 7
on 2
or 1
past 1
philosophizes 1
postapocalyptic 1
predecessor 1
remnants 1
resorts 1
scattered 1
seem 1
sex 1
small 1
society 1
some 1
species 1
state 1
successful 1
the 9
their 1
there 1
they 1
three 1
time 1
to 1
tourist 1
tribes 2
two 3
uneventful 1
views 1
war 1
wealth 1
where 1
who 1
with 3
without 1
