7467622
/m/0262ng7
/m/0262ng7
Michel Faber
2000
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 2
aliens 1
an 1
and 5
around 1
barren 1
be 1
big 1
business 1
by 1
can 1
compatriots 1
corporation 1
darkly 1
decay 1
delicacy 1
delivers 1
drugs 1
earth 1
environmental 1
extraterrestrial 1
farming 1
fatten 1
flesh 1
her 3
hitchhikers 1
homeworld 1
humanity 1
identity 1
intensive 1
into 1
is 3
isserley 1
it 1
meathuman 1
mercy 1
more 1
mutilate 1
novel 1
of 1
on 4
personal 1
pick 1
planet 1
political 1
protagonist 1
questions 1
reflects 1
rich 1
satirical 1
sent 1
sexual 1
she 1
snobbery 1
so 1
that 1
the 3
them 2
themes 1
they 1
to 3
touches 1
turned 1
unwary 1
up 1
victims 1
vodsel 1
who 1
