9195219
/m/027_w7r
/m/027_w7r
Minette Walters
1994-05-06
a 4
abuse 1
after 1
ages 1
an 2
and 3
as 1
bathtub 1
becomes 1
been 1
blakeney 1
bridle 1
built 1
cage 1
clamps 1
clear 1
cold 1
dead 2
deal 1
deep 1
delves 1
depravity 1
device 1
discover 1
dr 1
eccentric 1
for 1
found 1
friend 1
gillespie 1
great 1
greed 1
head 1
her 6
in 3
incredible 1
inside 1
into 1
intricate 1
is 1
known 1
left 1
locked 1
mathilda 2
meanness 1
middle 1
money 1
murder 1
mysterious 1
name 1
nature 1
of 3
only 1
past 1
police 1
prime 1
recluse 1
rusted 1
sarah 2
she 1
slashed 1
socalled 1
subsequently 1
suspect 1
that 1
the 3
throughout 1
to 1
tongue 1
torture 1
unravels 1
used 1
was 1
web 1
which 1
will 1
with 1
woman 1
wrists 1
