1543812
/m/0592v0
/m/0592v0
Peter David
1994-07
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 5
ability 1
about 1
accept 1
accidentally 1
additionally 1
adolescent 1
adult 1
affair 1
again 1
aid 1
akin 1
all 1
also 2
alternate 2
always 1
an 1
and 10
another 1
appear 1
appeared 1
appears 1
are 3
argument 1
around 1
as 4
at 3
attempt 1
b 1
barrier 1
be 2
been 1
before 1
begin 2
believe 1
beverly 2
boy 1
by 2
c 3
captain 1
characters 1
charged 1
collapsing 1
confronts 1
continuum 2
crew 2
crusher 2
data 1
depicted 1
destroying 1
died 2
different 2
disastrous 1
discipline 1
divorced 1
during 1
each 1
end 1
enlists 1
enterprise 2
enterprised 1
episode 3
eventually 2
exwife 1
fabric 1
federation 1
first 2
for 1
from 3
galaxy 1
generation 2
gone 1
gothos 1
had 1
has 1
having 1
he 1
him 1
his 2
husband 1
impostors 1
in 10
intersection 1
into 1
is 7
jack 4
jeanluc 1
kill 1
killed 1
klingon 1
klingons 1
least 1
lost 1
man 1
manages 1
member 1
members 2
mentoring 1
merge 1
militaristic 1
more 1
must 1
never 1
next 2
no 1
not 1
novel 2
now 1
of 13
officer 1
on 1
once 2
one 1
order 1
original 2
other 1
overpower 1
parallel 1
part 1
perfectly 1
picard 4
power 1
q 6
reality 1
really 1
referred 1
relates 1
resulting 1
results 1
revealed 1
separate 1
separated 1
series 1
serves 1
she 2
shown 1
sometimes 1
son 1
space 1
spends 1
squire 1
star 2
stop 1
stuck 1
tamper 1
taps 1
task 2
teach 1
the 35
this 3
though 1
three 2
time 3
timelines 1
to 13
together 1
track 5
tracka 2
trackb 1
tracks 2
traditional 1
trapped 1
trek 2
trelane 4
two 1
universe 5
universes 5
uses 1
war 1
wesley 1
when 1
where 1
which 4
who 2
with 6
witnesses 1
worf 1
yesterday 1
