598788
/m/02v12p
/m/02v12p
Harold Coyle
1987-08
0330 1
0530 1
0730 1
1 1
11 3
12 1
13 1
14 3
15 1
2 1
21 3
214 3
24 1
27 1
2lt 2
2nd 1
3 3
34 1
378 3
4 2
45 1
4th 1
5 2
55 2
66 5
66millimeter 1
78th 1
8 1
a 35
able 1
about 1
above 1
abrams 1
action 2
actually 1
addition 1
after 1
afteraction 1
afternoonevening 1
against 2
air 3
aircraft 1
ak47 1
all 1
alphabet 1
also 1
ambulance 1
ambush 1
american 4
americans 1
an 12
and 55
another 1
antitank 1
apparently 1
are 11
armed 1
armor 3
armored 3
armorheavy 2
army 6
around 1
arrives 1
artillery 2
artillerydelivered 1
as 8
asked 1
asleep 1
assigned 1
assisted 2
at 4
attached 1
attack 19
attacked 1
attackers 1
attacking 1
attacks 1
attitude 1
august 11
average 3
avery 5
await 1
awakened 1
awarded 1
back 3
bannon 28
barrels 1
base 3
battalion 12
be 5
beat 1
because 2
before 1
begins 2
belongs 1
berates 1
berlin 2
between 2
birmingham 1
blast 1
bravo 3
break 1
bridge 2
brigade 2
brunn 1
but 2
by 12
c 7
came 1
can 3
capable 1
captain 6
capture 3
carriers 1
carry 1
casualties 1
cavalry 1
ceasefire 2
centered 1
chance 1
characters 1
check 1
children 4
choke 1
choked 1
chorus 1
city 2
civilians 1
classmate 1
closer 1
co 1
colonel 7
combat 6
comes 1
coming 1
command 3
commanded 1
commander 6
communicating 1
companies 1
company 17
companysized 2
competent 1
composed 2
confusion 1
consolidate 1
continue 1
counter 2
cover 3
coyle 1
craven 1
cravin 1
crew 3
crewmen 1
crippled 1
crush 1
currently 1
cut 1
cutting 1
d 3
day 2
daylight 1
daytime 1
dead 1
decides 1
declared 1
deeper 1
defeat 2
defense 1
defensive 1
degree 1
delayed 1
democratic 1
dependents 4
deployed 1
destroying 1
destroys 1
deteriorating 1
did 1
differs 1
dispersion 1
distant 1
divided 1
division 2
doubts 1
dragon 3
driver 1
due 1
dug 1
duke 1
during 2
each 2
early 1
east 4
effective 1
effectively 1
effects 2
effort 1
efforts 1
either 1
electronics 1
enemy 2
engage 1
england 1
enter 1
equipment 2
evacuate 1
evacuation 1
even 1
every 1
exception 1
executive 1
exercising 1
experience 1
expresses 1
fail 1
fall 1
falls 1
family 1
fatigued 1
features 1
feint 1
fictional 1
fight 3
fighting 2
finds 7
firefight 1
first 10
fist 1
flight 1
flippantly 1
follow 1
foot 1
for 3
force 19
forced 1
forces 1
formed 1
forward 2
four 1
free 1
from 14
frontier 2
fury 1
gains 1
garger 7
gargerthe 1
geographic 1
german 7
germany 3
gerry 2
gets 2
give 1
gives 1
go 1
going 1
graduate 1
grimly 1
group 1
guard 1
gulf 1
gunner 2
guns 1
halted 1
halts 1
harassed 1
harrert 2
has 5
have 2
he 6
head 1
heading 1
headquarters 1
helicopter 1
her 3
high 1
hill 3
hills 1
him 1
himself 3
his 14
history 1
hit 1
hold 1
holding 1
holds 2
hours 4
however 1
hygiene 1
icao 1
if 1
immediately 2
in 36
including 2
infantry 5
infantrymen 1
informal 2
inspects 2
intact 1
integrated 1
intend 1
intergerman 1
international 2
into 4
is 50
isolated 2
it 6
its 5
jordan 4
july 1
kelp 3
key 1
kgb 1
kill 3
killed 5
kills 1
know 1
lands 1
late 1
later 2
launched 1
launches 1
laws 1
lead 2
leader 1
leaders 1
leadership 1
leads 1
led 1
left 1
leipzig 2
lessen 1
liability 1
lieutenant 9
life 2
lines 1
listing 1
loaded 1
loader 1
logical 1
longer 1
longterm 1
lounging 1
lt 6
m01 1
m1 1
m113 1
m1a1s 1
m88 1
main 1
maintenance 2
major 3
make 3
makes 1
man 1
manpower 1
married 1
mcallister 3
mccauley 2
meanwhile 2
mech 1
mechanized 2
meets 1
member 1
members 1
military 2
mines 1
minimal 1
minsk 1
missile 1
missiles 1
mobilized 1
months 2
more 3
morning 3
most 1
moved 2
moves 2
murray 1
must 1
names 1
national 1
nato 4
nearest 3
need 1
never 2
news 2
next 2
night 1
no 2
north 1
northern 1
not 3
notes 1
nothing 1
noting 1
novel 4
nuclear 3
numbered 2
occurs 1
of 33
off 3
offensive 1
officer 2
officers 1
offloads 1
oh 1
old 3
on 11
one 1
only 1
optics 1
or 2
ordered 5
orders 4
other 4
out 5
over 4
own 1
paint 1
parent 2
parlance 1
part 1
particular 2
particularly 1
past 1
pat 4
peacetime 1
persian 1
personnel 1
pfc 1
phonetic 1
place 1
placed 1
plane 1
plans 2
platoon 10
pleasant 1
point 1
poles 1
polgar 2
polish 3
position 1
positions 2
possibility 1
preface 1
prepare 1
prepares 2
prevent 1
principal 1
private 1
probably 1
problem 1
prologue 1
promised 1
protection 1
proving 1
pursues 1
push 1
puzzled 1
quarters 1
quite 1
quotations 1
quotes 1
race 1
radio 3
rahrah 1
rank 1
ratfucks 1
raymond 1
reaches 1
receive 1
reception 1
reconnect 1
recover 2
recovered 1
recovery 1
reforms 1
refugee 1
regular 1
reinforcements 2
rejoins 1
relieves 1
reorganize 1
repels 1
replaced 1
replacement 1
report 1
reports 2
republic 1
rescue 1
reserve 1
rest 1
resume 1
resumes 1
retaliates 1
returns 1
reverse 1
reynolds 5
rheinmain 1
richard 1
rifle 1
rings 1
rise 1
river 2
roads 1
robert 1
rodney 1
role 2
routine 1
run 1
running 1
russian 1
s3 1
saale 2
salvage 1
same 2
sandy 1
scattered 1
scheduled 1
school 1
scout 1
screen 1
screening 1
sean 2
second 4
secure 1
seen 2
sends 1
september 1
sergeant 4
series 1
serves 1
set 1
severely 1
she 1
shit 1
short 1
silence 1
silver 1
situation 1
sleep 1
slightly 1
slope 1
slowly 1
small 1
soldiers 1
soon 1
sources 1
southinto 1
soviet 10
soviets 3
special 1
speed 1
staff 4
standard 1
star 1
starts 2
states 1
still 1
stops 1
straight 1
strike 1
stripped 1
studied 1
support 3
supporting 1
sure 1
surprise 1
surviving 2
survivors 1
suspect 1
t55 1
t62 1
t72 1
take 1
taken 1
takes 1
tank 11
tanks 2
task 19
team 37
teams 1
teenager 1
terrain 1
