14849178
/m/03g_00z
/m/03g_00z
Willa Cather
1935
127 1
13 1
a 29
about 5
abruptly 1
accompanist 4
across 1
act 1
affair 1
after 4
again 4
alec 1
alone 1
also 2
although 1
always 2
an 4
and 40
angry 1
announces 1
another 2
any 2
apartment 1
appears 1
appreciative 1
are 1
area 1
argument 1
arkwright 1
artist 1
as 2
asking 2
asks 4
assistant 1
at 5
attempt 1
audition 1
auerbach 4
auerback 1
avoided 1
away 2
bachelor 1
back 5
bank 2
be 6
become 1
been 3
before 1
being 1
better 2
blamed 1
body 1
book 1
both 1
bought 1
branch 1
briefly 2
brought 1
busy 1
but 5
by 4
cadenabbia 1
call 1
calms 1
can 4
carrying 1
catch 1
catches 1
catholic 1
center 1
change 1
changed 1
chase 3
cheers 2
chess 1
chicago 6
christmas 2
chummy 1
church 1
cities 1
city 1
clement 2
come 2
comes 2
como 1
company 2
concert 1
concrete 1
contact 1
convalescent 1
could 1
couldnt 1
course 1
cracks 1
cries 1
current 1
cut 1
day 5
days 2
de 1
death 2
debt 1
decides 1
dejected 1
departure 1
depressed 2
deserved 1
died 4
dies 1
difficult 1
dinner 1
discourages 1
distance 1
distant 2
do 3
does 1
down 1
drawing 1
drives 1
driving 1
drowned 1
due 1
during 2
earlier 1
eastern 1
education 1
effort 1
elderly 1
eligible 1
else 1
embarrasses 1
enough 1
ensuing 1
enticing 1
europe 1
even 1
ever 1
exposed 1
fallen 1
falls 1
family 1
farm 3
farmhouse 1
father 3
fears 1
feels 2
female 2
finally 1
finance 1
financial 1
finding 1
finds 2
fired 1
five 1
flood 1
following 1
footprints 2
for 18
forming 1
found 2
friend 2
friends 1
from 8
froze 1
funeral 2
futureaccompany 1
gave 1
gayheart 8
get 1
gets 2
giuseppe 1
given 1
gives 2
glib 1
glibly 1
go 2
goes 6
going 2
gone 1
gordon 2
gossip 2
got 1
gotten 1
growing 2
had 12
hands 1
happens 1
hard 1
harry 14
has 12
hasty 1
have 3
haverford 3
he 35
heard 2
held 1
her 53
hershe 1
him 7
himself 2
his 14
holiday 1
hometown 1
hospital 1
house 2
however 4
humdrum 1
i 1
ice 2
if 4
implies 1
impressed 1
in 31
includes 1
indicates 2
inherit 1
inquires 1
into 3
is 22
it 12
its 1
itself 1
james 1
january 1
job 1
joins 1
knew 2
knows 1
lady 1
laid 1
lake 1
larry 1
last 3
late 1
later 8
latter 2
leaves 3
lessons 1
letter 1
life 2
like 2
live 1
locals 1
longer 1
look 1
love 5
loved 1
lover 1
loves 2
lucy 19
macgowan 1
madame 1
made 2
make 1
makes 1
making 1
man 1
manages 1
many 1
march 1
marriage 2
married 2
may 1
meanwhile 2
meet 1
meets 2
member 1
met 1
milton 1
minnesota 1
miss 1
mockford 3
moment 1
money 2
more 2
mortgage 2
most 1
mr 6
mrs 1
much 1
museums 1
musical 1
must 1
near 1
nebraska 1
new 1
newly 1
newspaper 1
next 3
nice 1
night 1
nightmares 1
nnno 1
no 2
nobody 1
not 6
nothing 1
notice 1
now 1
obviously 1
occasion 1
of 8
off 2
often 1
old 2
omaha 1
on 9
once 1
one 3
onions 1
only 3
opera 3
operas 1
or 1
orchard 1
other 2
out 3
over 2
owned 1
part 1
passes 1
past 2
pauline 8
people 1
performance 4
person 1
piano 3
place 1
platform 1
play 1
plays 1
pleading 1
pleasure 1
point 1
ponders 1
potatoes 1
practice 2
present 1
pretends 1
professor 4
prolepsis 1
proposal 1
provided 1
punish 2
punished 1
purpose 1
ramsay 1
reaches 1
reads 1
realized 1
really 1
recalls 1
receives 1
recent 1
recently 1
reflections 1
refuses 1
regretted 1
rehearsals 1
rehearse 1
rejecting 1
rejection 1
rejects 1
remaining 1
remove 1
renee 1
repay 1
replace 1
replacement 1
replies 2
retaliation 1
return 2
returned 2
returning 1
returns 2
revealed 1
ride 2
river 2
sacrifices 1
same 2
saying 2
says 4
scheduled 1
school 1
sea 1
sebastian 11
seems 3
seen 1
sends 1
september 1
sessions 1
shallow 1
she 49
sidewalk 1
since 1
singer 2
singers 1
singing 1
sister 2
sit 1
skated 1
skates 3
skating 2
snowfall 1
so 6
solace 1
sole 1
solid 1
some 2
someone 1
something 2
sometimes 1
soprano 2
spell 1
spoil 1
spring 1
still 2
stop 2
stressful 1
struck 1
students 1
studies 2
studio 4
submerged 1
sure 1
surety 1
sweetheart 1
take 2
takes 2
talk 2
tantrum 1
teach 1
teacher 1
telegram 1
telling 1
tells 3
than 1
that 30
the 50
their 1
them 1
then 3
there 4
these 1
they 3
things 1
this 6
though 1
thought 1
thoughts 1
threw 1
through 1
throws 1
thus 1
tickets 1
to 45
together 2
too 1
tour 2
tours 1
toward 1
town 1
train 1
traveling 1
tree 1
tried 1
turn 1
twentyfive 1
two 2
unable 1
until 1
up 5
us 1
used 1
valet 1
very 2
vibrating 1
view 1
vignon 1
visit 1
visits 2
waiting 1
wandering 1
wanted 2
wants 2
was 4
weaving 1
went 1
were 2
what 3
when 10
whenever 1
where 2
which 2
whilst 1
who 4
whoever 1
whom 1
why 2
wife 1
will 4
winter 1
wisconsin 1
with 14
wonderful 1
worried 1
would 2
writes 1
written 1
year 1
years 3
yes 1
yet 1
york 1
you 1
