2846537
/m/086hyp
/m/086hyp
Harry Harrison
1972
1212 1
142 1
16 1
173 1
a 4
aldiss 1
also 1
alternative 1
although 1
america 3
american 1
amis 1
an 3
and 8
appearance 1
are 1
as 3
atlantic 1
augustine 2
battle 1
become 1
between 1
brasseybrunel 1
british 2
brunel 1
cabot 1
captain 2
christopher 1
colony 1
columbus 1
control 1
could 1
daughter 1
de 1
deathbed 1
descendant 2
detective 1
direct 1
discovered 1
disputes 1
divergence 1
do 1
earlier 1
empire 2
engineering 1
expedition 1
fall 1
far 1
farflung 1
few 1
finance 1
george 2
get 1
heart 1
his 1
history 1
however 2
iberian 1
in 6
instead 1
iris 1
is 2
isabard 1
isambard 3
islamic 1
it 2
its 2
john 1
july 1
just 1
kingdom 1
labors 1
later 2
link 1
lord 1
lost 1
lovers 1
makes 1
marry 1
moors 1
navas 1
north 1
not 1
occurred 1
of 9
on 3
our 1
out 1
over 2
owing 1
own 1
peninsula 1
point 1
presence 1
protagonist 1
reconciled 1
result 1
reverend 1
revolutionary 1
richard 1
shadow 1
shot 1
sir 2
spain 1
states 1
still 1
survival 1
techniques 1
territory 1
that 1
the 15
therefore 1
they 1
this 1
thus 1
to 3
together 1
tolosa 1
tracy 1
traitor 1
traitorous 1
two 1
unable 1
under 1
unified 1
united 1
war 1
was 4
washington 4
when 1
who 1
with 1
won 1
wooing 1
world 1
years 1
young 1
