14069739
/m/03csm9f
/m/03csm9f
Alistair MacLean
1976
{"/m/01jfsb": "Thriller"}
a 13
ace 1
action 1
adding 1
adept 1
agent 2
agents 1
allowed 1
also 1
among 1
an 2
and 16
any 1
armed 1
arranges 1
attempts 1
attention 1
aware 1
be 1
beam 1
billion 1
block 1
both 2
branson 4
bridge 6
but 1
by 1
camera 1
cannot 1
carefully 2
clockworktimed 1
conceived 2
courses 1
cover 1
criminals 1
demand 1
destroy 1
detonation 1
disguised 1
doctor 1
dollars 1
dour 1
drugged 1
east 1
egomaniac 1
ends 2
equipment 1
equipped 1
explosives 2
extremely 1
fbi 2
female 1
foil 1
food 1
for 2
francisco 1
from 2
full 1
gadgets 1
gate 2
gets 1
golden 2
guests 2
hagenbach 2
half 1
handpicked 1
has 1
have 1
he 4
head 1
help 1
him 1
his 4
hole 1
however 2
in 3
injury 1
insult 1
invites 1
is 1
it 1
journalist 1
kidnaps 1
kill 1
king 1
laser 1
led 1
masterfully 1
mastermind 1
media 1
men 1
message 1
middle 1
neutralize 1
of 7
off 1
on 4
ones 1
only 1
operation 1
out 1
own 1
pardon 1
paul 1
peter 1
placed 1
placing 1
plans 2
precaution 1
president 3
press 1
prince 1
remain 1
removing 1
rescue 2
resist 1
result 1
revson 4
san 1
searching 1
sets 1
several 1
smuggled 1
so 1
special 1
states 1
stay 1
story 1
submarine 1
suggesting 1
superiors 1
supplying 1
takes 1
team 1
terrorists 2
that 1
the 23
their 1
them 3
themselves 1
those 1
to 9
trying 1
two 1
under 1
united 1
unleash 1
various 1
was 1
weapons 1
which 1
who 1
will 3
wire 1
with 5
working 2
