412140
/m/0256z_
/m/0256z_
Harry Mulisch
1992-10
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
133 2
146 1
16 1
167 1
a 50
about 1
abruptly 1
absorbed 1
absorbs 1
accepts 1
across 1
ada 20
affair 1
affects 1
after 7
again 1
ages 1
allow 1
alone 2
also 5
although 2
amsterdam 3
an 10
ancient 2
and 71
angel 6
angellike 2
another 1
anything 1
apartment 1
apparent 1
approached 1
archangel 2
architecture 4
are 8
arm 1
arranges 1
arrives 2
arrogant 1
artists 1
as 4
ascends 1
asked 1
assuming 1
astronomer 1
astronomical 1
astronomy 1
at 2
attack 1
attend 1
auschwitz 2
austrian 1
aviv 1
back 3
bad 1
badly 1
bang 1
be 6
beach 1
beard 1
become 3
becomes 1
before 1
beginning 5
begins 3
being 4
best 1
between 4
beyond 1
big 1
biggest 1
binds 1
birth 1
blue 3
book 4
bookshop 1
born 4
both 2
break 2
breaking 1
bridges 1
bright 3
brons 11
burial 1
buried 1
but 9
by 18
caesarean 1
call 1
calls 2
camp 1
camps 1
can 1
cannot 3
car 1
care 2
career 3
carrying 1
castle 2
castro 1
caught 1
causes 2
cellist 1
cello 1
cemetery 1
chance 1
change 1
changed 1
chapel 1
characters 1
child 14
christianity 1
cities 1
city 2
clearly 1
close 1
coma 2
come 2
commandments 1
commended 1
complains 1
complementary 1
conceived 3
concentration 1
conference 1
consequently 1
conservative 1
consists 1
containing 1
continue 1
control 1
conversations 2
convinced 1
convinces 2
cranes 1
crashes 1
created 1
cry 1
cuba 4
cuban 2
dark 1
daughter 1
day 4
decides 3
decipher 1
deeds 1
defense 1
delegation 1
deliberate 1
delius 1
departure 1
deputy 1
desire 1
despite 1
destroyed 1
deus 2
died 2
directly 1
disappear 1
discover 1
discovers 1
discovery 2
discusses 1
diskos 2
distress 1
divine 1
does 1
dome 3
done 1
drawings 1
dream 1
dreams 2
drive 1
dubbed 1
during 4
dutch 5
each 3
earth 3
eastern 1
eccentrics 1
effect 1
elderly 1
elite 1
else 1
encyclopedic 1
end 4
equally 1
erotomanious 1
escape 1
especially 1
europe 2
euthanasia 1
even 2
event 1
events 3
eventually 1
everything 1
ex 2
except 1
executed 1
experiencing 1
explains 3
extroverted 1
eyes 2
facets 1
fall 2
falls 1
family 4
fashionable 1
father 10
feelings 1
feels 1
filled 5
find 3
finds 1
firing 1
first 3
fled 1
flee 1
flight 1
florence 1
for 16
forced 1
forces 1
formal 1
former 4
foster 1
four 2
freak 1
frequently 1
friend 2
friends 1
friendship 3
from 5
fuels 1
future 1
gabriel 1
gained 1
garden 1
gathering 1
gem 1
genius 1
german 1
germany 1
gift 1
gifted 1
girlfriend 3
give 1
given 1
go 1
god 2
goes 3
gone 1
grandmother 2
great 1
grey 1
grows 2
guilt 1
had 2
hallucinative 1
has 20
haunted 3
have 2
havent 1
he 38
heart 1
heaven 9
