8518457
/m/0276b2f
/m/0276b2f
Sergey Lukyanenko
1990
{"/m/08sdrw": "Adventure novel"}
a 5
about 1
after 1
aimed 1
altogether 1
an 1
and 1
approaching 1
are 1
as 4
at 1
automated 1
base 1
because 1
brutal 1
bunkers 1
by 1
can 1
communicate 1
delayed 2
didnt 1
dog 1
dont 1
drago 2
dragon 2
dragons 1
end 1
from 2
hard 1
he 1
himself 1
his 2
however 1
humanity 1
in 1
individuals 1
is 4
it 1
journey 1
kindness 1
know 1
knows 1
landscape 1
launching 1
learns 1
life 1
like 1
man 1
mdash 3
meets 1
mike 1
missile 2
most 1
much 1
notion 1
nuclear 1
of 3
on 1
own 1
perform 1
postnuclear 1
prince 1
programmed 1
protagonist 1
questions 1
quickly 1
reject 1
reserv6 1
russia 1
ruthless 1
so 1
states 1
status 1
stop 1
strike 1
surface 1
survive 1
survived 1
telepathically 1
that 3
the 10
their 1
there 1
those 1
three 1
time 1
to 5
twenty 1
underground 1
united 1
visit 1
war 1
well 1
who 3
with 1
years 1
