14733785
/m/03gvz7z
/m/03gvz7z
Catherine Jinks
2005
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
also 2
although 1
an 1
and 7
around 1
as 1
at 3
axis 1
be 1
because 1
begins 1
brilliant 1
by 3
cadel 3
cerebral 1
claims 1
code 1
complicated 1
computers 1
consequences 1
created 1
criminal 2
darkkon 2
destroys 1
different 1
direction 1
does 1
dr 1
due 1
english 1
evil 1
fact 1
father 2
first 1
for 3
from 1
genius 2
girl 1
hacking 1
hand 1
has 2
he 6
her 1
him 3
his 10
hone 1
identify 1
in 1
instilled 1
institute 1
intellect 1
is 11
it 1
kids 2
know 1
knowledgeable 1
last 1
later 1
man 1
meaning 1
meets 1
minute 1
moral 2
morality 1
more 1
name 1
named 1
not 1
notorious 1
number 1
of 4
or 1
other 2
palsy 1
people 1
phineas 2
piggot 1
pirvert 1
police 1
prosper 1
psychologist 2
quest 1
regular 1
relationship 1
right 1
roth 1
saved 1
significant 1
skills 1
sonja 1
sorts 1
specialty 1
story 1
surroundings 1
taken 1
talented 1
thaddeus 2
than 1
that 1
the 6
this 1
those 1
to 4
told 1
ultimately 1
university 1
until 1
use 1
when 1
which 1
who 2
whom 2
with 2
young 1
