27599741
/m/0c3_kxx
/m/0c3_kxx
Ben Myers

1 1
15 1
a 1
and 3
at 1
began 1
beginning 1
both 1
breakdown 1
career 1
childhood 1
comprises 1
converging 1
covering 1
departure 1
encounters 1
eventually 1
february 1
first 1
firstperson 1
from 3
his 3
hotel 1
is 2
london 1
manic 1
movements 1
narrative 3
narratives 2
on 1
one 1
onwards 1
physicalemotional 1
point 2
pointofview 2
preachers 1
reaches 1
richard 1
richey 2
running 1
school 1
second 2
secondperson 1
strand 3
street 1
the 4
this 2
thoughts 1
through 1
two 1
university 1
which 1
with 2
