1146094
/m/04b8dy
/m/04b8dy
Kobo Abe


a 9
absorbed 1
adapts 1
advancing 1
after 1
alone 1
an 2
and 7
area 1
as 1
at 2
attraction 1
because 1
becomes 2
being 1
burial 1
bus 1
but 2
by 5
captive 1
chance 1
chased 1
chooses 1
collect 1
condition 1
cope 1
couple 1
crow 1
damp 1
declaring 1
desperately 1
dig 1
digging 1
discovers 1
down 1
draw 1
dune 2
dunes 1
effort 1
eiji 1
employed 1
end 1
endless 1
entomologist 1
escape 2
escapes 1
eventually 2
expedition 1
failing 1
familiar 1
fate 1
film 3
finds 1
focus 1
for 1
forced 1
free 1
from 6
geography 1
gets 2
guide 1
hanging 1
he 10
help 1
her 2
him 5
himself 1
his 7
house 2
however 1
in 10
inform 1
inhabit 1
initially 1
insects 1
is 5
junpei 7
kishida 1
kyoko 1
ladder 2
last 1
leave 2
life 1
lives 1
lover 1
messenger 1
misses 1
missing 1
morning 2
mother 1
must 1
next 1
night 2
niki 1
not 1
of 9
okada 1
on 1
one 1
oppressiveness 1
or 1
order 1
perfecting 1
persistent 1
physical 1
played 1
police 1
possibly 1
power 1
prolong 1
quarry 1
quicksand 2
receive 1
release 1
removed 1
report 1
resigns 1
return 1
rope 1
running 1
sale 1
sand 7
save 1
seven 1
she 1
shifts 1
shino 1
shown 1
signed 1
situation 1
some 1
spite 1
starts 1
stay 2
still 1
suggest 1
takes 1
task 2
technology 1
that 2
the 32
their 3
then 2
they 1
through 1
thus 1
to 17
trap 1
trapped 2
tries 2
upon 1
villagers 6
wall 1
wants 1
water 2
way 2
when 2
where 1
which 1
while 1
widow 5
with 2
written 1
years 1
young 1
