5621370
/m/0dwrz1
/m/0dwrz1
Victor Pelevin
1999
{"/m/05hgj": "Novel"}
10s 1
3d 1
a 10
about 1
advertisements 1
advertising 1
after 2
aided 1
all 1
an 1
and 9
another 1
are 2
as 1
at 1
attempts 1
awaken 1
babylen 1
becomes 2
been 2
begins 1
behind 2
belief 1
board 1
bridegroom 1
bringing 1
broadcast 1
but 2
by 3
calling 1
can 1
chaos 3
chapter 1
che 1
chief 1
cocaine 1
coincidences 1
collective 1
consists 1
consumerism 1
consumption 1
copywriter 1
corporate 1
corporeal 1
corruption 1
creations 1
culture 1
defined 1
desires 1
destruction 1
determine 1
developing 1
digital 1
discover 2
does 1
dog 1
double 2
duty 1
early 1
electronic 1
enemy 1
enhanced 1
events 1
eventually 1
fabrications 1
fall 1
false 1
firm 1
firms 1
first 1
for 1
force 1
forces 1
form 3
further 1
goddess 1
goddesses 1
graduate 1
guevera 1
had 1
hallucinogenic 1
has 2
he 7
her 1
hidden 2
himself 1
his 3
identity 1
illusion 1
images 2
in 8
individual 1
instance 1
into 1
is 4
ishtar 1
ishtars 1
it 1
its 1
last 2
learn 1
learns 2
life 1
look 1
make 1
material 1
meaning 2
members 1
mesopotamian 1
more 2
moscow 1
mushrooms 1
never 1
new 1
not 1
novel 1
novels 1
now 1
of 13
on 4
onto 1
ouija 1
past 1
patterns 1
phukkup 1
poet 1
politics 1
possessions 1
postsoviet 1
practices 1
presence 1
presented 1
protagonist 1
purpose 1
pyramid 1
quest 3
quite 1
rampant 1
reaches 1
reading 1
real 1
reality 1
regent 1
religious 1
ritual 1
russian 2
sacrifice 1
searches 1
see 1
sees 1
selfindulgence 1
senses 1
servants 1
set 1
shape 1
some 1
soon 1
soviet 1
spirits 1
streets 1
student 1
succeeds 1
suggest 2
sure 1
tatarsky 6
tatarskys 2
television 2
that 6
the 24
these 1
this 3
through 1
time 1
to 5
top 1
tossed 1
totality 1
transformed 1
treatise 1
tried 1
true 2
truthsfor 1
turn 1
tv 2
ubiquitous 1
ultimate 1
umediated 1
union 1
versions 1
vodka 1
western 1
when 2
where 1
who 1
whose 1
with 1
world 1
writes 1
years 1
yeltsin 1
