11911874
/m/02rxp3w
/m/02rxp3w
Alison Croggon

a 12
able 1
account 1
across 1
admit 1
after 1
all 1
also 3
although 1
an 3
and 11
annar 1
anointed 1
archaic 1
ardina 1
are 2
as 8
assumed 1
at 2
attempted 1
bard 5
bards 2
be 3
become 2
been 2
before 2
begins 2
being 1
believing 1
bid 1
book 1
brief 1
brother 1
but 1
by 7
cadvan 9
cai 1
called 4
came 1
chance 1
childhood 1
circle 1
coincident 1
command 1
concerning 1
conquer 1
corrupt 2
corruption 1
cot 1
country 1
creature 1
dead 1
decides 1
defeat 2
descended 1
destroyed 2
died 1
discarded 1
discover 2
discovered 1
discovers 1
do 1
does 1
driven 1
during 1
edilamarandh 1
elednor 3
elidhu 1
embrace 1
en 1
enemy 1
enjoyed 1
enkir 2
escape 1
even 2
faerie 1
fallen 1
few 1
finds 1
fire 1
first 2
flame 1
flee 1
for 4
forest 1
foretold 5
forever 1
formally 1
former 1
formerly 1
freely 1
friend 1
from 2
full 2
gift 4
gilman 1
given 1
great 1
had 2
has 7
have 1
having 1
he 7
help 1
helpless 1
hem 2
her 15
here 1
him 3
his 4
history 1
hostility 1
hulls 1
idea 1
immediately 1
immortal 1
implies 1
in 6
influence 1
inheritor 1
innail 2
instated 2
intending 1
into 1
invoke 1
is 13
island 1
it 2
knowing 1
knowledge 1
known 3
lady 1
land 1
largely 1
last 1
leader 2
leaving 1
let 1
life 1
like 2
lily 1
lives 1
longforgotten 1
lothlrienlike 1
maerad 14
magic 1
make 2
many 1
means 2
memories 1
might 1
milana 1
minor 1
misogyny 1
monarch 1
more 1
mother 3
mystics 1
name 3
nameless 3
naming 1
nature 1
nelac 3
never 1
no 1
nonusers 1
norloch 2
not 2
obtains 1
of 27
old 1
on 2
one 13
only 1
or 3
order 1
out 1
own 3
partly 1
pellinor 5
penetrated 1
point 1
political 1
possesses 1
power 1
powerful 1
presence 1
previously 1
prophecy 1
published 1
random 1
reach 1
refuses 1
result 1
revealed 2
reveals 1
ritual 1
roaming 1
route 1
safety 1
saliman 1
school 3
see 1
sent 1
settlement 1
several 1
shared 1
sharma 2
she 5
side 1
significance 1
slave 1
slavery 1
so 1
sold 1
soon 1
southward 1
stay 1
still 1
survivor 2
survivors 1
suspect 1
takes 2
taught 2
teacher 1
terrified 1
terrorized 1
than 1
that 16
the 31
their 3
there 2
therefore 1
these 1
they 2
this 4
thorold 1
time 1
to 17
true 1
tutor 1
twice 2
under 1
unusually 1
upon 1
vanquished 1
was 3
way 1
were 1
when 2
where 1
which 4
while 1
white 1
who 9
whom 1
will 3
with 4
years 2
younger 1
