17808486
/m/047chfb
/m/047chfb
Michael Scott

15 1
a 9
ability 1
abraham 1
after 4
alcatraz 3
alchemyst 1
allows 1
along 1
also 1
an 2
ancient 3
and 31
arc 3
are 5
arrive 3
as 5
assistant 1
at 1
attack 1
attacks 1
aura 2
awakened 1
ayala 1
back 1
banks 1
battle 1
beast 1
been 1
before 1
blade 1
book 1
both 1
bring 1
busy 1
but 4
by 5
can 1
capture 1
captured 1
captures 1
catacombs 2
chase 2
clarent 3
claws 1
codex 1
colleague 1
combine 1
come 1
commonly 1
comrades 1
comte 1
control 1
dagon 3
dark 1
de 2
decide 1
dee 8
defeat 1
destroy 1
destroyed 1
destruction 1
disir 7
do 1
drags 1
elders 1
elemental 2
encounter 1
endor 2
enemies 1
erupts 1
escape 3
escapes 1
excalibur 1
express 1
face 1
fails 2
failure 1
fears 1
ferocious 1
fighting 2
fire 2
flamel 4
flees 2
follow 1
for 2
france 1
francisco 1
freed 1
freeze 1
friend 2
from 4
gargoyles 1
ghost 1
gift 1
given 2
go 1
group 1
had 1
has 1
have 1
he 2
head 1
help 1
helped 1
helps 1
her 4
him 1
his 3
iceberg 1
if 1
in 7
instead 1
is 10
it 2
its 2
joan 6
john 1
josh 12
juan 1
kill 1
knowledge 1
learn 1
leaves 1
leaving 1
legendary 1
lengthy 1
life 1
london 1
machiavelli 7
mage 1
magic 1
magical 1
making 1
manages 2
manuel 1
mars 2
meanwhile 1
memories 1
military 1
miss 1
missing 1
monster 3
more 1
newman 1
niccol 1
nicholas 6
nidhogg 6
now 2
of 22
on 3
once 1
one 1
or 1
out 3
own 1
pages 1
paris 4
perenelle 3
plotting 1
powers 1
prisoner 1
recapture 1
received 1
referred 1
remorse 1
rest 1
rival 1
river 1
roots 1
sailor 1
saintgermain 3
san 1
save 2
scathach 11
seek 1
seine 1
set 1
similar 1
slay 1
so 1
sophie 11
sort 1
souldevouring 1
spanish 1
special 1
stall 1
statues 2
still 2
stone 1
streets 1
stuck 1
student 1
sword 3
taken 1
talking 1
teaches 1
the 38
then 2
there 1
they 4
three 1
through 1
to 20
track 1
trail 1
train 1
trap 1
trapped 1
tree 1
trio 1
trying 1
twin 1
twins 4
two 2
ultor 1
use 1
using 1
valkyries 1
via 1
wake 1
was 1
watching 1
well 1
what 1
when 3
while 1
who 4
wielded 1
wife 2
witch 2
with 6
work 1
world 1
wounds 1
yearold 1
yggdrasil 2
