5317770
/m/0df83t
/m/0df83t
Lane Smith
1989
a 3
after 1
and 5
anyway 1
as 3
ask 1
at 1
attack 1
bad 1
bake 1
be 1
been 3
big 1
birthday 1
book 2
cake 1
caught 1
cold 1
dear 1
die 1
dismissed 1
does 1
due 1
during 1
eating 1
end 1
for 3
framed 1
from 2
go 1
good 1
granny 2
great 1
has 1
have 1
having 2
he 1
him 1
his 8
house 1
houses 1
huffing 1
in 1
insulted 1
is 1
it 1
journeys 1
justifies 1
letting 1
little 2
meat 1
necessarily 1
needing 1
not 2
of 2
on 1
pig 2
pigs 4
polite 1
prison 1
puffing 1
rage 1
reader 1
requests 1
revealed 1
rudely 1
show 1
since 1
sneeze 2
sneezeing 1
some 1
story 1
sugar 2
telling 2
that 3
the 15
third 1
three 1
to 7
tries 1
very 1
waste 1
whole 1
wolf 3
