876994
/m/03kxyx
/m/03kxyx
Scott O'Dell
1960-09
a 20
able 1
after 2
aleut 1
aleuts 9
alone 2
also 2
although 2
among 1
an 1
ancient 1
and 26
anhilated 1
animals 1
approaches 1
appropriate 1
are 3
arrive 1
artifacts 1
as 3
at 1
attempt 1
attire 2
avenge 1
away 1
back 2
barbara 1
battle 3
be 1
been 1
before 1
befriend 1
beside 1
birds 1
boat 2
bones 1
both 1
breaks 1
bring 1
brother 3
building 1
builds 1
but 3
by 5
california 1
called 1
calls 1
came 1
can 1
canoes 1
captain 2
care 1
case 1
cave 3
change 1
character 1
chief 3
chowig 1
close 1
closely 1
come 1
comes 1
common 1
confronted 1
day 2
death 1
decides 1
departs 1
departure 1
deprives 1
despite 1
devilfish 2
die 1
dies 1
discovers 1
docks 1
does 2
dog 1
dogs 3
domestic 1
dress 2
dresses 1
duties 1
each 2
east 1
encounters 1
even 2
eventually 2
ever 1
everyone 1
exchange 1
explores 1
eyes 1
father 2
feels 1
feral 2
finds 1
finest 1
fishing 2
for 7
fox 1
friend 1
from 2
gathering 1
getting 1
ghalasat 1
girl 2
go 1
goes 2
goods 2
has 3
have 1
he 2
heart 1
her 14
herself 2
hide 1
him 4
himself 1
his 2
home 1
how 1
however 1
hunt 2
hunted 1
hunting 1
in 13
including 1
inhabitants 1
into 1
is 8
island 5
islanders 1
islandhoping 1
it 2
joined 1
jumps 1
karana 18
killed 2
kills 1
kimki 1
kinship 1
land 1
language 1
large 1
later 3
leader 1
leave 4
leaves 2
leaving 1
led 1
left 1
letting 1
life 2
like 2
little 1
live 2
lives 1
lonely 1
looks 1
lost 1
made 2
main 1
mainland 2
makes 1
making 1
male 1
many 1
meaning 1
meet 2
men 3
mission 1
more 1
must 2
name 3
named 2
names 1
naming 1
natives 1
near 1
new 2
newfound 1
none 1
not 3
now 1
observes 1
of 14
off 1
on 4
one 3
only 1
or 1
order 1
orlov 1
other 5
otter 2
otters 1
out 1
over 1
owners 1
pack 4
part 1
passes 1
paying 1
payment 1
people 3
persuade 1
pool 1
possible 1
precautions 1
presence 1
presents 1
provisions 1
ramo 3
realize 1
realizes 3
refuge 1
replacement 1
rescuers 1
retrieve 1
return 5
rontu 4
rontuaru 2
roots 1
russian 1
sails 2
santa 1
sea 1
secret 2
sees 1
send 1
several 1
she 16
ship 10
shore 3
siblings 1
sides 1
so 2
some 2
son 1
soon 2
spear 1
spears 1
spring 1
squid 1
stocks 1
storm 1
such 1
summer 1
supply 1
survive 1
swims 1
swindle 1
take 1
takes 4
tames 2
tasks 1
that 4
the 59
their 3
them 4
then 1
there 1
they 4
this 1
though 1
time 3
to 19
told 1
traditionally 1
tribe 3
tutok 2
two 1
urges 1
village 3
vows 1
wait 1
water 1
whale 1
when 3
which 1
white 1
who 1
will 2
wiser 1
with 3
without 3
woman 1
wonapalei 1
years 1
young 2
