5237452
/m/0d9d7b
/m/0d9d7b
Ruth Rendell
2006
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 37
about 2
abusing 1
admits 1
advances 1
advantage 1
after 3
afterwards 1
again 1
ago 2
all 6
alone 1
also 2
although 3
an 3
and 54
andrew 16
another 1
any 1
are 6
area 1
around 1
arrest 1
as 1
asked 1
asking 1
asks 2
at 4
attentions 2
avice 4
away 1
bag 2
barry 7
bath 2
bathroom 2
be 3
beatrix 4
beats 1
because 3
become 3
becomes 2
bed 1
bedroom 1
been 5
befriended 1
begin 2
begins 1
being 1
belated 1
believe 1
believes 1
between 1
bin 1
blackmail 3
blackmails 1
boasts 1
both 1
box 1
boxing 1
british 1
brother 1
bubbles 1
but 5
by 3
cabinet 1
campbellsedge 1
can 2
cannot 1
care 1
cassette 1
catering 1
causes 2
character 1
christmas 1
citizens 1
civil 1
come 1
comes 1
committed 1
complete 1
confronts 3
connection 1
conroy 1
contact 2
contained 1
containing 1
contents 2
convinced 1
cough 1
could 1
covered 1
cupboard 1
currently 1
daily 1
darting 1
date 2
day 2
dead 1
death 3
decided 1
decides 3
deeply 1
department 1
desperate 1
desperately 1
destroy 1
didnt 1
diplomat 1
discover 1
discovers 3
dislike 1
distraught 1
divided 1
do 1
does 3
down 1
drink 1
drinking 1
drowned 3
during 1
earthquake 1
edmund 19
elderly 3
emotionally 1
encouraged 1
end 2
engaged 4
engagement 1
enough 1
enters 1
especially 1
eva 8
even 1
evening 1
eventually 1
expected 1
extorts 1
fact 2
fall 1
fancies 1
fearing 1
fenix 2
fianc 1
find 2
flame 1
flat 10
flats 1
following 1
food 1
for 13
formally 1
former 1
found 1
four 1
fowler 4
frets 1
friend 1
friends 1
from 7
get 2
gives 1
giving 1
goes 3
got 1
guy 14
had 1
handbag 2
happened 2
has 11
haunted 1
have 4
he 12
head 1
heather 29
heavily 1
her 43
hides 2
him 7
his 7
home 3
homeless 1
honeymoon 1
honeymooning 1
hoped 1
hopes 1
hoping 1
horrified 1
hospice 1
hospital 1
hours 1
house 1
hundred 1
idea 1
if 1
in 33
include 1
included 1
india 2
indian 1
indonesia 2
infidelity 1
information 1
informed 1
inside 1
instead 1
interest 1
interested 2
into 4
investigation 1
invites 1
irene 6
is 16
ismay 27
it 8
its 1
jacobs 1
join 1
keep 1
kill 1
killed 4
killing 1
kin 2
knowledge 1
lady 1
lanka 1
leave 1
leaves 1
leaving 1
led 1
left 1
like 3
listens 1
litton 1
live 2
lives 1
living 3
london 1
longer 1
looking 1
looks 1
lot 2
love 2
lovely 1
lover 2
loves 1
made 3
makes 1
man 1
marc 1
marion 15
married 2
meal 1
meantime 1
meanwhile 1
meets 1
melville 1
met 1
michael 1
mixture 1
money 1
more 1
morphine 2
mother 8
move 4
mrs 1
much 1
murder 2
murdered 3
name 1
names 1
neighbour 1
never 1
new 2
news 1
next 2
night 2
no 2
not 5
now 1
number 1
obviously 1
ocean 1
of 18
off 1
officer 1
often 1
on 10
one 3
or 3
order 2
other 1
our 1
out 4
overnight 1
own 2
pamela 5
past 1
people 1
phone 1
places 1
plan 1
play 1
police 1
pounds 1
presence 1
present 1
proposes 1
protect 2
pursuing 1
pushes 1
puts 2
quite 2
rabbits 1
rabbitsitting 1
ragas 2
rainy 2
reconciled 2
recording 1
refuses 1
regarding 1
regularly 2
relating 1
relationship 1
released 1
remain 1
remembers 1
rented 1
report 1
retired 1
return 2
returned 2
rift 2
ring 1
robbery 1
romance 1
romantic 1
row 1
run 1
saddened 1
said 1
sale 1
same 2
saying 1
says 1
scene 1
school 1
sealand 2
season 2
secret 1
see 1
seeking 1
servant 1
set 1
sets 1
several 1
sex 1
sexual 1
sexually 1
shall 1
shared 1
she 26
shocked 1
shopping 1
shortly 2
should 1
sight 1
simber 3
sister 2
sits 1
so 2
socialite 1
someone 1
sometimes 1
somewhere 1
soon 1
speaks 1
spend 1
spends 1
splits 1
sri 1
stairs 1
stand 1
start 1
stay 1
staying 1
stepfather 2
stolen 1
stop 1
strongest 1
successful 1
suitable 1
sulphate 1
sumatra 1
take 1
taken 1
takes 2
tape 5
tastes 1
teenager 1
teenagers 1
tell 2
telling 1
tells 4
thailand 1
than 1
that 12
the 44
their 5
them 1
then 1
there 1
they 6
thin 1
thing 1
things 2
think 1
thinks 3
thirteenyearold 1
this 3
those 2
throw 1
time 2
to 48
together 2
too 1
traumatised 1
tries 2
triggers 1
tsunami 2
tube 1
turned 1
turns 1
twenties 1
two 5
uniform 1
until 1
up 7
upstairs 1
use 1
very 1
violent 1
virus 1
visit 1
visits 1
wait 1
walks 1
wandering 1
want 1
wanted 1
was 5
water 1
weak 1
wedding 1
went 1
were 1
west 1
what 4
when 6
where 1
whether 2
which 4
whilst 2
who 15
will 3
wished 1
with 23
without 1
woman 3
work 1
works 2
world 1
worries 1
would 3
years 2
young 1
younger 1
