3276363
/m/092w2q
/m/092w2q
James Luceno

66 1
a 3
about 2
act 1
after 1
alderaan 1
along 1
alongside 1
also 1
an 1
anakin 3
and 8
are 2
as 6
attack 1
back 1
bail 1
be 2
becomes 1
before 1
beginning 1
beginnings 1
begins 1
believes 1
between 1
bol 1
c3po 1
chapters 1
characters 1
chatak 1
chewbacca 2
clone 2
communes 1
conflict 1
consolidating 1
contingent 1
coruscant 1
course 1
dark 3
darth 6
depict 1
depicted 2
devotes 1
duel 1
during 2
early 1
emperor 1
empire 1
ends 1
enslavement 1
episode 1
eventually 1
everything 1
explains 1
fearing 1
final 2
fire 1
for 3
force 1
forever 1
forget 1
former 1
fought 1
from 2
fugitive 1
galaxy 1
general 1
grand 1
han 1
has 1
he 3
him 2
his 1
hours 1
hunt 1
identity 1
iii 1
imperial 1
implementation 1
in 4
including 1
infant 1
intends 1
internal 1
investigate 1
ironically 1
is 2
it 3
jedi 4
jinn 1
just 1
kashyyyk 2
kenobi 2
lead 1
learning 2
led 1
lord 3
luceno 1
luke 1
master 1
masters 1
matter 1
means 1
missions 1
moff 1
much 2
murkhana 1
mustafar 1
nascent 1
never 1
novel 1
obiwan 2
of 22
olee 1
on 6
open 1
order 1
orders 1
organa 1
other 1
padawan 1
palpatine 2
partnership 2
perished 1
planet 2
public 1
query 1
quigon 2
r2d2 1
refuses 1
relearn 1
return 1
revealed 1
revenge 2
rise 3
roan 1
rule 1
safety 1
search 1
sends 1
several 1
shed 1
shown 1
shryne 1
sith 3
skywalker 5
solo 1
someone 1
soon 1
spirit 1
starstone 1
survival 1
takes 1
tarkin 1
tatooine 1
tells 1
temple 1
that 7
the 34
their 1
there 1
these 1
they 1
to 12
tries 1
troopers 1
undergoes 1
vader 13
wants 1
war 1
wars 1
was 1
what 1
when 1
whereabouts 1
which 1
who 1
whole 1
whom 1
will 2
with 5
wookiees 1
