1029351
/m/03_p_y
/m/03_p_y
Peter Taylor
1986
{"/m/05hgj": "Novel"}
a 7
abilities 1
adolescence 1
adults 1
affect 1
after 2
an 1
and 9
any 1
army 1
as 5
associate 1
attractive 1
betrayal 1
between 2
block 1
book 2
build 1
business 1
but 1
by 2
call 1
carver 3
chiefly 1
children 2
continued 1
continues 1
deal 1
death 1
depression 1
die 1
disapproved 1
distinguished 1
dominated 1
dressing 1
during 1
ended 1
event 1
events 1
ever 1
failed 1
family 1
father 2
fifties 1
for 2
forced 1
forgiveness 1
four 1
friendships 1
from 1
function 1
further 1
great 3
had 1
happened 1
he 3
help 1
his 5
if 1
ii 1
impact 1
in 5
incidents 1
into 1
investments 1
is 1
join 1
lawyer 1
leave 1
lewis 1
life 1
lives 2
lost 1
maintain 1
major 2
marry 2
memphis 1
men 1
money 1
mother 1
move 1
moves 1
mr 1
nashville 1
nature 1
neither 1
never 1
new 2
nor 1
odd 1
of 8
old 1
older 1
oldest 1
on 3
once 1
parents 1
phillip 4
possibility 1
reason 1
recall 1
refers 1
reflects 1
relationship 1
relationships 2
remarrying 1
responsibilities 1
resulting 1
return 1
revenge 1
romantic 1
rumination 1
several 1
shackleford 1
sisters 3
son 1
south 1
stable 1
still 2
story 1
summons 1
teenagers 1
teens 1
the 20
their 7
them 3
thenfriend 1
thenoctogenarian 1
they 2
this 1
though 2
time 1
title 1
to 7
ultimately 1
unfolds 1
war 1
was 1
well 1
welltodo 1
were 3
when 1
which 1
whom 1
will 1
with 2
woman 1
world 1
would 1
york 1
younger 1
