17799143
/m/047b5qw
/m/047b5qw
Lance Parkin

a 3
adults 1
also 1
an 1
ancient 2
and 4
appeared 1
are 1
arising 1
at 1
away 1
been 1
before 1
beyond 1
buildings 1
but 1
by 1
calling 1
centre 1
children 1
city 2
civilisation 1
conquerors 1
dangers 2
decayed 1
deep 1
destroyed 3
discovers 1
doctor 2
drawn 2
everything 1
eyeless 1
far 1
fell 1
from 2
ghosts 1
glass 1
great 1
have 1
he 1
heading 1
heart 1
his 1
in 1
into 1
is 1
it 3
lived 1
must 1
new 1
now 2
of 8
offspring 1
on 1
once 1
out 1
own 2
people 1
power 1
race 1
rests 1
ruins 2
sky 1
small 1
suddenly 1
survivors 1
the 18
their 1
them 1
themselves 1
there 2
those 1
to 3
tribe 2
uncover 1
venture 1
weapon 3
were 1
when 1
who 2
why 2
with 1
world 1
