8147064
/m/026t9sb
/m/026t9sb
Garry Kilworth
1978
170s 1
a 21
absurd 1
action 1
actually 1
adhere 1
adventures 1
after 1
alien 3
all 3
almost 1
also 2
although 3
an 4
and 14
animation 1
anticipating 1
appears 1
approach 1
are 3
as 3
aspect 1
assailants 1
assigned 1
at 3
awful 1
be 2
been 1
beetlelike 1
begin 1
being 1
beings 1
better 1
bits 1
broken 1
brutish 1
build 2
but 1
by 2
certain 1
colonists 5
colonization 1
colony 1
comical 1
conclusion 1
confusion 1
considered 1
continues 1
controls 1
creatures 2
crew 5
decades 1
deus 1
disappears 1
discover 1
disorientation 1
disrupted 1
disrupts 1
distant 1
distinction 1
do 1
does 1
elements 1
embracing 1
encouraging 1
end 2
enormous 1
enters 1
entertaining 1
equipment 2
eventually 3
ex 1
existence 1
experiences 1
exploration 1
far 1
fiction 1
fierce 1
first 2
for 2
force 2
formless 1
forms 1
fragment 1
from 3
gain 1
glowing 2
gnaw 1
had 1
harmless 1
has 3
have 2
he 2
heritage 1
his 2
however 1
human 2
humans 2
if 1
in 6
interest 1
interesting 1
interferes 1
interplanetary 1
into 1
investigates 1
is 3
islam 2
it 3
kadar 2
kind 1
know 1
knowledge 1
landing 1
leadership 1
learn 1
learns 1
life 4
location 1
lost 2
machina 1
machinations 1
make 1
man 1
manpower 1
measure 1
meet 1
memory 1
men 1
might 1
minds 2
minor 1
missing 2
mission 1
mobile 1
modern 1
monitor 1
moslems 1
mosque 1
native 1
new 1
newfound 1
night 1
no 2
nothing 1
novel 5
occasional 1
of 30
on 2
onboard 1
one 1
only 2
operating 1
orb 3
organizes 1
originally 1
osman 5
our 1
out 3
outnumber 1
overwhelm 1
party 1
people 3
place 2
planet 3
pose 1
position 1
primitive 1
principles 1
provide 1
puppet 1
rather 1
reader 1
relatively 1
religion 2
religious 1
reluctantly 1
remote 1
runins 1
runofthemill 1
same 1
savages 1
science 1
secular 1
seem 1
sense 1
series 1
serves 1
settlement 1
setup 1
several 1
ship 1
show 1
sign 1
slaughter 1
sleeping 1
solace 1
some 2
soon 1
space 1
spacecraft 2
spectacle 1
stand 1
start 1
state 1
still 1
story 1
strange 1
striving 1
subtly 1
superior 1
suspended 1
systems 1
takes 2
technology 1
tells 1
than 1
that 4
the 45
their 5
them 3
there 1
these 3
they 4
this 1
threat 1
throughout 1
thus 1
to 9
travels 1
tribe 1
tribulations 1
truth 1
turn 1
turns 1
unfortunates 1
unsettling 1
upon 1
vague 1
variety 1
vastly 1
very 1
voyagers 1
warning 1
way 1
weapons 1
were 2
west 1
where 1
while 1
with 2
without 1
world 1
