13685257
/m/03cf1z9
/m/03cf1z9
Jeanne Willis
1986
a 6
able 1
absence 1
afraid 2
also 1
and 15
apparently 1
as 2
asks 1
asleep 4
at 1
away 1
be 1
bear 1
bed 7
bedroom 1
begins 2
bites 1
book 4
both 1
boy 3
but 1
cave 2
changes 2
checks 1
clothes 1
comes 1
concludes 1
convinced 1
creatures 1
creep 1
decides 2
deep 1
dennis 18
describes 1
dog 1
explains 2
fairies 1
fall 2
falls 1
fear 2
feel 1
find 1
finds 2
for 3
forest 2
from 1
get 1
gives 1
gnomes 1
go 1
hairy 1
have 1
he 13
her 3
hide 1
him 3
himself 1
his 9
how 1
however 2
human 2
humans 6
if 2
im 1
in 1
inside 1
into 6
introduction 1
is 4
it 2
kiss 1
knowing 1
leads 1
legendary 1
light 1
misbehave 1
monster 3
monsters 1
mother 7
my 1
named 1
nasty 1
next 1
night 1
nose 1
not 8
of 10
off 1
on 2
parents 1
part 1
persuade 1
picnic 1
pixies 1
polite 1
presumably 1
promises 1
reacts 1
reader 2
readies 1
real 1
rest 1
rumored 1
run 1
says 2
scary 1
school 1
screams 1
see 1
setting 2
she 4
shouts 1
showing 1
skips 1
sleep 3
small 2
so 2
son 2
starts 1
story 1
such 1
sudden 1
surprise 1
surprised 1
teddy 1
tell 1
telling 1
that 4
the 25
then 5
this 1
to 14
trees 1
tries 1
trolls 1
turn 1
under 3
upon 1
venture 1
ventures 1
very 1
walks 2
was 2
we 1
were 1
where 2
which 1
while 1
why 1
will 5
with 1
withering 2
wont 1
wood 2
woods 1
would 2
young 3
