11280016
/m/02r64hx
/m/02r64hx
Nigel Hinton

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
1 1
18 1
22 1
56 6
a 23
about 2
address 1
adds 1
admit 1
after 6
age 1
aggressive 1
agio 1
airport 1
all 1
along 1
also 3
although 1
am 1
amount 1
and 36
any 1
anymore 1
anytime 1
are 1
arley 1
arm 1
around 1
arrested 2
arrive 2
arrives 1
as 4
asks 4
at 9
avoid 1
away 1
axle 1
back 1
bag 2
bailed 1
bar 1
barn 1
bathroom 1
be 4
beast 5
because 1
been 2
before 5
behind 1
being 2
believe 1
believes 1
bell 1
better 1
bike 1
birthday 1
bleeding 1
both 2
boy 2
breaking 2
briefcase 2
buddy 38
bus 6
but 2
by 6
called 3
calmly 1
campbell 1
can 1
car 1
care 1
charmian 2
check 1
city 1
claims 1
classmates 1
clothes 1
come 1
comes 1
coming 1
consultation 1
containing 1
convinces 1
convincing 1
country 1
countryside 1
crashalong 1
crashed 2
croxley 4
crying 2
cst 1
dad 25
dads 1
dark 2
davidson 1
day 4
deathklaraerbest 1
decides 3
did 1
didnt 2
died 1
difficulties 1
discuss 1
does 1
doesnt 3
dogs 1
door 2
driver 1
due 2
dustman 1
early 2
embarrassed 1
end 3
ends 1
enough 3
enter 2
entering 1
enters 1
escape 1
evening 1
everyday 2
fact 1
family 1
father 1
feeling 1
feels 1
fell 1
find 4
finds 6
flat 1
for 9
forgot 1
forms 1
four 1
fourteenth 1
friday 1
friend 3
from 5
get 3
gets 9
give 2
gives 1
go 4
goes 4
going 1
group 1
guilty 1
had 2
hadnt 1
half 1
hands 3
happens 1
harley 2
has 7
have 3
he 42
head 2
headline 1
heads 1
hears 2
hell 1
her 1
him 12
his 53
holly 3
house 9
however 4
ia 1
in 18
including 1
indicate 1
into 1
involves 1
iowa 1
is 14
isnt 1
it 8
james 1
jewellery 2
jewels 1
job 2
julius 1
just 1
keeping 1
killed 1
king 8
known 2
later 8
learning 1
leaves 2
leaving 2
left 2
like 2
lives 1
long 2
looking 1
looks 1
loves 1
lyrics 1
machine 1
main 1
man 2
mason 1
meanwhile 1
meeting 1
members 1
minutes 1
missing 3
money 8
months 3
morning 1
motorbike 2
mr 8
mum 15
music 1
named 1
next 3
night 2
nights 1
no 1
notice 1
of 10
off 2
often 3
on 10
only 1
originally 1
other 1
out 9
outfit 1
outside 1
over 1
own 1
owner 1
paper 1
parents 1
picked 1
pinball 1
plan 1
plane 4
planning 1
play 1
plead 1
police 5
poor 1
previous 1
previously 1
prison 1
purse 1
put 3
ralph 4
refuses 1
returns 1
revealing 1
ride 1
ring 2
round 1
said 2
says 2
school 3
see 2
sees 1
sent 1
shared 1
she 4
shelter 1
shelters 1
shift 1
shortly 1
side 1
six 1
sleeping 2
snack 2
some 1
someone 1
something 1
son 1
song 2
spending 1
standing 1
starts 2
state 1
station 2
stealing 2
still 2
stolen 1
stop 2
stopped 1
street 4
succeeds 1
supplies 1
sure 1
suspicious 1
take 1
takeoff 1
takes 3
taking 1
teacher 1
teddy 1
telephone 1
tell 2
telling 1
tells 5
that 13
the 60
them 3
then 4
there 1
they 2
thief 1
thinks 1
this 1
till 1
time 1
to 40
told 1
tournament 1
towed 1
trial 1
tries 1
trip 1
trips 1
truth 1
try 1
turns 1
two 3
unable 1
until 1
up 1
wait 1
wakes 1
want 1
wants 2
was 6
west 1
what 1
when 4
where 1
which 1
who 3
will 1
window 1
with 11
within 1
wont 1
wooden 1
work 4
works 1
year 1
young 1
