479949
/m/02fk4b
/m/02fk4b
Salman Rushdie
1988
a 19
able 2
about 1
abuse 1
across 1
actors 1
after 1
all 2
allie 3
allusion 1
also 4
altered 1
amid 1
amitabh 1
an 6
and 15
another 2
arabian 1
archangel 2
are 6
arrested 1
artist 1
as 10
ascribed 1
assume 1
at 2
authenticity 1
ayatollah 1
ayesha 1
baal 2
bachchan 1
back 1
background 1
based 1
be 3
been 1
beginning 1
believers 1
bollywood 1
both 4
britain 1
broken 1
brothel 1
but 6
by 7
called 1
can 1
catastrophic 1
centre 1
chamcha 7
channel 1
character 1
characters 1
city 1
claiming 1
claims 2
climax 1
commits 1
common 2
community 1
companions 1
cone 1
conflicting 1
consists 1
contains 1
contemporary 1
crisis 1
criticized 1
cross 1
decides 1
deities 2
demonic 1
destroying 1
details 1
developing 1
devil 1
dictated 1
disappear 1
disturbingly 1
divine 1
does 1
done 1
doubt 1
doubting 1
dream 3
drowned 1
elements 2
embark 1
embedded 1
emigrant 1
ends 1
england 2
english 2
entices 1
episode 1
error 1
estranged 1
even 1
exile 1
expatriate 1
expatriates 1
experienced 1
explodes 1
fact 1
faith 1
fall 1
fanatic 1
fanaticism 1
farishta 11
father 1
favour 1
figure 3
film 1
finds 1
first 1
flying 1
foot 1
for 1
forgiveness 1
forgives 1
forsaken 1
fostering 1
found 1
frame 2
from 5
gibreel 4
girl 1
goes 1
halfmagic 1
has 4
have 1
having 2
he 2
heathen 1
her 1
hiding 1
hijacked 2
him 3
hind 1
hindu 1
his 9
human 1
identities 1
identity 2
illegal 1
illness 1
imam 1
immigrant 1
in 19
india 3
indian 6
induced 1
interlaced 1
into 2
involves 1
irreverent 1
is 10
it 2
its 1
jahilia 1
jealousy 2
just 1
khomeini 1
kills 1
late20thcentury 1
later 1
leader 1
level 1
life 3
like 1
linked 2
lives 1
lost 1
love 1
magical 1
magically 1
mahound 1
many 2
mecca 2
mental 1
messenger 4
mind 1
miraculous 1
miraculously 2
moment 1
most 1
motifs 2
mountaineer 1
muhammad 1
muslim 1
muslims 1
narrated 1
narrative 3
narratives 1
not 1
novel 2
observers 1
of 29
offensive 1
old 1
on 5
one 3
only 1
opponents 1
or 2
ordeal 1
other 1
outbreak 1
over 1
overshadowed 1
own 1
parisian 1
partly 2
passes 1
pathological 1
peasant 1
personality 1
piece 1
pilgrimage 2
plane 3
playing 1
poet 1
police 1
polytheistic 1
portions 1
presents 1
priestess 1
proclaims 1
prophet 4
prostitutes 1
protagonist 1
protagonists 2
quran 1
rama 1
rao 1
read 1
realism 1
realistic 1
realizes 1
receiving 1
reconciliation 1
recurrent 1
regained 1
relationship 2
religious 2
remain 1
renarration 1
renounces 1
return 1
returns 1
revelation 2
revelations 1
revenge 1
rushdie 1
saladin 1
satanic 2
satirical 1
saved 1
saves 1
schizophrenia 1
sea 2
second 1
seeks 1
sequence 2
sequences 1
series 2
setting 1
shaitan 1
shape 1
she 1
skeptic 1
so 1
socalled 1
specializes 1
stars 1
stories 1
story 2
struggle 1
subplots 1
subtly 1
suicide 1
superstar 1
suspected 1
symptom 1
take 1
takes 1
tells 1
testimonies 1
that 5
the 48
their 3
thematic 1
then 1
there 1
these 1
they 4
third 1
this 3
through 2
thus 1
to 16
together 2
transformation 2
transformed 1
transparent 1
trapped 1
triumph 1
two 3
underground 1
using 1
various 1
verses 2
village 1
vision 1
visions 1
voiceover 1
walk 2
wants 1
water 1
well 1
were 2
what 1
when 1
where 1
whether 1
which 1
who 4
will 1
with 4
wives 1
works 1
