19161995
/m/04ldkdw
/m/04ldkdw
Alan Ayckbourn


130s 2
a 23
abduction 1
about 2
across 1
act 3
adaptation 1
advances 1
after 2
again 1
age 1
agents 2
aimed 1
alibi 1
alien 5
all 5
almost 1
alone 1
also 2
although 1
an 4
and 24
angry 1
another 1
anxiously 1
are 3
arnold 17
arrive 2
as 7
assistant 1
at 5
attention 1
attributed 1
austen 1
awe 1
back 3
banging 1
bangs 1
be 5
bedridden 1
before 4
begins 1
behaving 1
bemused 1
boyfriend 1
brevis 6
bront 1
bunch 1
but 5
by 4
can 5
candle 1
captive 1
capture 1
ceiling 1
chairs 1
changed 1
changes 1
children 2
circle 1
clear 1
clearly 1
clem 6
comes 1
comment 1
confronted 1
confusing 1
could 2
count 1
course 1
cousin 1
created 1
cries 1
darker 1
dear 1
declared 1
demands 1
description 1
detective 4
did 1
doblin 4
down 1
dress 2
drives 1
each 1
easily 1
end 2
ends 2
enters 1
evening 1
ever 1
evidently 1
exactly 2
explains 1
exposed 1
extract 1
fact 2
fiction 1
files 1
finds 1
finish 1
finished 1
first 6
five 2
flits 1
floor 1
follow 1
follows 1
for 6
forth 1
friend 1
friendship 1
from 3
fword 1
genuine 1
get 2
gets 3
ghost 2
girl 1
glasses 1
go 2
goblin 2
goes 1
good 1
grace 2
gracious 1
grounds 1
group 6
grown 1
had 1
has 2
have 6
he 13
hears 1
heiress 1
heiressilsa 1
helping 1
her 17
him 4
himself 2
hires 1
his 11
holds 1
home 1
hour 1
house 1
how 2
ideas 1
identities 1
if 1
illustrations 1
ilsa 12
imaginations 1
in 11
incomprehensible 1
inheritance 1
insane 1
instead 1
instruction 2
internet 1
interrupted 1
into 2
investigating 1
invincible 1
invulshable 1
is 17
isnt 1
it 10
jane 1
jess 4
joins 1
just 3
kind 2
knife 1
last 2
latest 1
leader 1
leaflets 1
leaves 2
leaving 1
left 2
light 2
lights 1
like 1
list 1
livein 1
long 3
looks 1
maidilsa 1
making 2
man 1
manages 1
manual 1
matrix 1
meeting 2
member 1
mispronouncing 1
mispronunciation 1
mistress 1
model 1
modelled 1
moment 1
more 2
mother 2
motherinlaw 1
motorbike 1
much 3
murder 2
musical 1
musicals 1
mysteries 1
mystery 2
names 1
narrates 1
narrating 1
nervous 1
never 1
nice 1
noone 1
not 3
nothing 1
novel 1
now 3
obvious 1
obviously 1
of 24
off 1
on 10
once 1
one 1
only 3
open 2
or 4
other 3
out 4
over 2
overwriting 1
painfully 1
people 1
performed 1
period 1
periodically 1
persistent 1
piano 1
pick 1
pilgrim 1
play 1
playing 2
plays 1
plot 1
pocket 1
pod 3
pointed 1
points 1
poirot 1
progress 1
protect 1
prove 1
publicised 1
published 1
question 1
quiet 1
rather 1
reader 1
reads 1
real 2
reality 1
really 1
reeling 1
relatively 1
release 1
rest 4
retired 1
reveal 2
right 1
river 1
romance 1
room 2
rumbled 1
sails 1
saw 1
saying 1
says 2
scheming 1
school 1
science 2
scifi 1
screams 1
search 1
second 1
seems 2
seen 1
sees 2
serve 1
serves 1
serving 1
setting 1
she 4
should 1
shows 1
sid 2
sidekick 2
sign 1
similar 1
similarity 1
since 1
sisters 1
slowly 1
smitten 1
so 4
solved 3
some 1
someone 1
something 1
somewhat 2
song 3
sort 1
speculation 1
spent 1
squirrel 2
start 2
starting 1
starts 3
stick 1
still 1
stories 1
story 6
strange 1
striking 1
stuck 1
style 1
successfully 1
such 1
suddenly 3
summary 1
surround 1
tea 2
teacher 1
tells 1
than 1
that 10
the 75
their 1
them 1
then 2
there 3
they 3
this 5
three 1
through 1
time 2
to 18
tow 1
towards 1
trade 1
tuneful 1
tuneless 1
tunnel 2
turned 1
two 1
unusual 1
up 4
upstairs 2
use 1
version 1
very 1
victorian 2
vision 1
visiting 1
vivi 5
waiting 2
walk 1
wall 1
walnutcumboat 1
wankers 1
want 1
was 5
way 1
weaknesses 1
week 1
what 1
when 3
where 1
which 1
whilst 3
who 4
whom 1
whose 1
wife 1
wild 1
with 15
wonderful 1
words 3
working 1
would 2
writer 2
writers 6
writes 1
writing 2
wrote 1
x 1
you 3
young 1
