5208465
/m/0d7xmz
/m/0d7xmz
Jack Finney
1970
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
1 2
10000 1
170 4
1882 8
a 31
abiding 1
able 2
aborts 1
about 2
accepted 2
accompanies 1
accuses 1
acquaintance 1
acting 1
activities 1
actually 2
advertising 1
after 6
again 3
agonize 1
agrees 2
all 2
already 1
also 1
alter 1
alternative 1
amid 1
amounts 1
an 6
and 36
andrew 1
any 1
apartment 5
apartments 1
approached 1
are 8
area 1
areas 1
arent 1
arm 2
armed 1
army 1
arrested 1
artist 1
as 15
ashamed 1
assignmentto 1
associated 1
astonishment 1
asyetunassembled 1
at 8
attempting 1
away 2
awayonly 1
back 8
badly 1
barely 1
base 1
be 4
because 1
been 2
begins 1
being 4
blackmail 1
blackmailer 1
blackmailing 1
blame 1
boarder 1
book 1
born 2
both 2
briefly 1
brings 2
building 6
built 1
burned 2
burning 1
burns 1
burst 1
bus 1
but 6
buying 1
by 11
byrnes 2
called 1
can 4
cant 1
carefully 1
carmody 11
carry 1
casting 1
castro 1
central 1
change 2
changed 1
charbonneau 1
cheerfully 1
citizen 1
city 4
clear 1
cleveland 3
clevelandand 1
clothing 1
completed 1
conceal 1
concealed 1
concealing 1
conclude 1
confirmed 1
control 1
convinced 1
convincing 1
couple 1
cuba 1
dakota 2
danziger 7
dated 1
dawn 1
day 1
days 2
debriefed 1
decides 1
demanded 1
denver 1
description 1
destruction 1
detective 1
did 1
die 1
died 1
difference 1
discuss 1
does 1
dollars 1
dour 1
down 1
dr 1
due 1
each 1
ee 1
effective 1
effects 1
efforts 1
elderly 1
encouraged 1
engaged 1
enougha 1
entertaining 1
entire 1
erected 1
escape 2
escaping 1
even 1
event 2
eventually 1
examined 1
exist 1
explains 1
explores 1
exposed 2
expresses 2
faces 1
fact 3
factual 2
falling 1
famous 1
fantasy 1
far 2
fascination 1
feasible 1
few 1
fictional 1
fidel 1
fight 1
figure 1
files 5
finally 1
find 1
finds 1
finney 2
fire 5
first 2
fits 1
flee 3
follow 1
followed 1
for 6
forth 1
friend 1
from 10
girlfriend 1
give 1
go 7
goes 2
going 2
gone 1
good 1
government 1
gramercy 5
grover 2
guilt 1
half 1
happen 1
happened 1
happy 1
has 7
have 6
having 4
he 26
head 1
help 2
her 3
high 1
him 8
himself 6
his 5
historical 1
history 2
home 1
horrible 1
horsedrawn 1
hours 1
house 3
how 1
huge 2
if 1
illustrations 1
illustrator 1
in 31
incident 1
incriminating 1
indecision 1
influence 1
innocuous 1
inserts 1
inside 1
insists 1
inspector 1
intentionally 1
inthe 1
into 4
is 29
island 1
it 12
jake 1
julia 13
kate 2
keep 1
killed 1
knocking 1
landlady 1
last 1
later 2
law 1
learn 3
learns 2
leave 1
leaves 1
led 1
lest 1
lets 1
letter 6
liberties 1
liberty 1
linked 1
lives 1
living 1
longassembled 1
look 1
love 1
made 1
madison 2
mailed 5
major 1
make 1
makes 3
making 1
man 4
manhattan 2
many 2
marblebut 1
means 1
meeting 3
men 1
mentioned 1
met 2
might 3
military 1
million 1
minor 1
missing 2
money 2
more 1
morley 1
most 1
movie 1
much 1
murdering 1
must 1
mystery 1
name 1
named 1
needing 1
never 5
new 6
newspaper 1
niece 1
ninety 2
no 5
not 3
note 3
november 1
now 2
nowhere 1
observes 1
observing 1
occurred 1
of 20
office 2
old 1
on 5
one 4
oneself 1
only 1
order 1
organizers 1
other 4
otherwise 1
out 6
over 2
overruled 1
own 1
pair 1
papers 1
parents 2
park 7
participants 1
participate 2
pass 1
past 11
pasthis 1
patiently 1
people 2
period 2
permission 1
photographs 1
picked 1
pickering 14
pickeringcarmody 1
piece 1
police 2
post 1
postmark 1
potential 1
present 7
presents 1
prien 2
prior 1
prisoners 1
private 1
process 1
project 10
promise 1
prove 1
provided 1
puzzle 1
rather 1
real 1
realize 1
realizes 1
reason 1
regret 1
remembers 1
rents 1
report 1
request 1
requests 1
research 1
resignation 1
resigns 1
return 5
returns 3
rivalpickering 1
ruben 1
sadlytowards 1
safely 1
save 1
say 1
scene 1
scheme 1
schemeburn 1
second 1
secret 1
section 1
see 1
seeing 1
seem 1
seems 4
sees 1
selfhypnosis 1
selfhypnosiswhether 1
send 1
sending 1
sergeant 1
sets 2
settle 1
setup 1
seventy 1
several 1
shaken 1
she 5
shelter 1
shocked 1
si 23
side 1
sign 1
simon 2
since 1
sketch 1
sketching 1
so 3
some 2
soon 2
spain 1
spend 1
square 2
staging 1
standing 2
starting 1
statue 3
stopped 1
story 2
strange 1
style 1
successful 1
take 1
taken 2
takes 1
talked 1
talking 1
talks 1
tattooed 1
television 1
tell 2
tells 3
terribly 1
than 3
that 18
the 105
their 3
them 5
themselves 3
then 6
there 5
they 13
things 2
this 1
thomas 1
though 2
through 1
thumbs 1
thus 1
ties 1
time 1
timeline 1
to 62
told 1
took 1
totally 1
trapped 1
travel 1
tries 1
trip 1
troubled 1
turned 1
turns 2
two 5
unchanged 1
unknown 1
up 2
urging 1
us 2
used 1
uses 1
usually 1
very 1
viewed 1
views 1
visit 1
walk 1
walks 1
want 1
warehouse 1
wars 1
was 8
watch 3
watching 1
well 1
west 1
what 3
when 3
where 2
whether 1
which 6
whilehe 1
who 3
whole 2
whom 2
will 2
window 1
with 13
without 1
word 2
world 3
worries 1
worry 1
would 1
writer 1
year 1
years 4
yell 1
york 6
