60161
/m/0gcm_
/m/0gcm_
Dashiell Hammett
1930
{"/m/0lsxr": "Crime Fiction", "/m/028v3": "Detective fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/03xj9g": "Hardboiled", "/m/0c3351": "Suspense"}
1000 1
10000 2
5000 1
a 24
about 5
accept 1
acquaintance 1
acquired 1
activities 1
address 1
after 2
against 1
agree 1
agrees 1
all 1
allegedly 1
also 2
always 1
an 2
and 33
apartment 3
archer 10
are 3
argue 1
arrange 1
arrive 1
arrived 2
arrives 1
as 2
asking 1
asks 5
assignment 1
at 5
awake 1
back 1
be 2
because 1
becomes 1
been 1
begin 1
begs 1
belongings 1
betrayed 1
between 1
bird 3
black 3
blame 1
bluffs 1
boss 1
brigid 2
brings 1
bus 1
but 15
by 4
cairo 15
call 3
calls 1
came 1
can 2
captain 1
casper 1
casually 1
choice 1
client 2
collection 1
composure 1
conceal 1
conducting 1
confronts 1
connection 1
contacts 1
continue 1
cook 1
copy 1
counter 1
covered 1
crime 1
day 1
dead 1
deal 1
decides 1
declaring 1
did 1
dies 1
discovered 1
dizzy 1
dock 1
does 1
drops 1
drugged 1
dundy 2
effie 1
enamel 1
escapes 1
evidence 1
expenses 1
fake 1
falcon 1
fall 1
false 1
feels 1
figure 1
figurine 5
finds 2
fine 1
fire 1
first 1
floor 1
floyd 1
follow 1
for 12
force 1
francisco 1
from 5
g 2
gave 1
general 1
get 2
gift 1
girl 1
give 1
gives 3
goes 1
good 1
gun 1
gutman 17
guy 1
had 3
handsomely 1
hang 1
has 4
have 4
he 22
head 1
help 1
her 11
him 14
himself 1
hired 2
his 10
hotel 2
identity 1
if 3
immediately 1
implies 1
in 8
information 2
inquire 1
intention 1
into 1
investigation 1
is 11
it 12
item 1
its 2
iva 1
jacobi 1
jewels 1
joel 1
keep 1
keeps 1
kemidov 1
kept 1
kicks 1
kid 1
killed 5
king 1
knew 1
knights 1
knocks 1
know 1
la 2
later 3
latter 1
layer 1
lead 1
learns 2
leave 6
let 1
lieutenant 1
like 1
likely 1
looking 1
looks 1
lost 1
luggage 1
made 1
mails 1
malta 1
man 1
matter 1
meanwhile 1
meet 2
meeting 1
mentions 1
merely 1
miles 2
miss 1
money 2
more 1
most 1
murder 1
murders 1
must 1
mysterious 1
name 1
named 1
need 1
nervous 1
never 1
next 1
night 2
no 2
not 4
of 8
off 1
offers 1
office 3
officers 1
ohaughnessy 14
on 3
opens 1
order 1
orders 1
over 1
package 2
pair 1
paloma 2
pay 2
penalty 1
perine 1
phone 1
phones 1
pick 1
pin 2
playacting 1
polhaus 4
police 1
proceeds 1
protection 1
pulls 1
questioned 1
quickly 1
ready 1
real 1
realizes 1
receives 3
recent 1
recently 1
refer 1
refuses 2
regains 1
remember 1
remove 1
replies 1
rest 1
retrieve 2
returns 2
reveal 1
run 1
russian 2
sam 1
san 1
say 1
saying 1
says 8
scare 1
scared 1
scratched 1
screams 1
search 2
secretary 2
seem 2
senses 1
sent 1
seventeen 1
sgt 2
she 10
shot 1
show 1
sister 2
so 1
spade 41
spain 1
spoken 1
stalls 1
station 2
stole 1
stomach 1
stores 1
story 1
suddenly 1
suspect 1
tag 1
tailing 1
take 3
takes 1
tell 3
telling 2
tells 3
that 20
the 40
their 2
them 2
then 3
they 11
thursby 9
to 40
town 1
traced 1
transit 1
tries 2
trips 1
trouble 1
true 1
trust 1
turn 1
turns 1
twenty 1
two 1
unconscious 1
up 2
value 2
visit 1
visited 1
visiting 1
waiting 2
wants 1
warns 1
was 9
way 1
were 1
what 1
when 9
whereabouts 1
which 1
who 5
whom 1
why 1
wife 1
will 4
wilmer 6
wishes 1
with 5
woman 1
wonderly 2
years 2
younger 1
