15093466
/m/03hh5b6
/m/03hh5b6
Brandon Sanderson

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
about 1
adult 1
after 1
alcatraz 6
all 1
always 1
an 1
and 5
arrives 1
at 1
bag 2
be 2
been 1
begins 1
birthday 1
book 1
breaking 2
but 1
called 1
care 1
caseworker 1
claims 1
conquer 1
countless 1
day 1
destroying 2
door 1
ending 1
events 1
evil 1
finds 1
fire 1
fletcher 1
for 2
force 1
foster 4
free 1
grandfather 1
group 1
has 2
he 4
him 2
his 6
home 1
however 1
into 1
is 5
it 1
kingdomers 1
kitchen 2
knocks 1
later 1
leaves 1
librarians 3
man 1
ms 1
next 1
novel 1
of 6
old 1
on 1
out 2
parent 2
parents 2
people 1
personal 1
powerful 1
precious 1
purpose 1
rather 1
receiving 1
recent 1
remaining 1
revealed 1
rule 1
sand 3
scolds 1
sent 1
set 1
setting 1
smedry 1
special 2
starts 1
stealing 1
story 1
strange 1
stumbles 1
taking 1
talent 1
teen 1
tells 2
that 4
the 9
then 1
there 1
things 3
thirteenth 1
to 6
turns 1
unusual 1
up 1
versus 1
were 1
which 3
who 1
whose 1
with 3
world 1
young 2
