571783
/m/02r8nd
/m/02r8nd
Paul Auster
1989-02
13 1
142 1
3 1
a 28
abortion 1
about 3
accident 2
across 1
after 12
again 1
age 1
aka 1
all 2
alone 2
although 1
an 8
and 39
another 2
apartment 7
army 1
around 2
arrives 1
as 2
ask 1
at 7
attacks 1
back 1
bad 1
balance 1
bandits 1
barber 10
beach 1
bears 1
because 3
become 1
becomes 4
becoming 1
been 2
before 2
begins 5
between 1
big 1
blind 1
boarding 1
books 3
breakfast 2
breaks 1
brothers 1
buried 1
busy 1
but 4
by 7
byrne 2
california 1
calls 1
can 1
cans 1
car 1
care 1
caretaker 1
cave 3
cemetery 1
central 5
changes 1
chicago 1
china 1
chinatown 1
citizen 1
city 2
college 5
columbia 1
comes 1
comfortable 1
complicated 1
contact 1
continues 1
contrasts 1
conversion 1
costs 2
country 1
crawls 1
crying 1
cut 1
cyclic 1
day 4
days 2
death 1
decay 1
decides 4
delirium 1
depression 1
describe 1
desert 1
didnt 1
dies 5
disabled 1
disappeared 1
do 3
doesnt 2
dormitory 2
driving 2
drugs 1
due 1
each 1
earn 2
ease 1
effing 13
effings 1
effort 1
electricity 1
eleven 1
emily 3
ends 1
enjoying 1
enough 1
etc 1
even 1
eventually 1
expenses 1
extremely 1
facts 1
fall 1
family 2
famous 2
fat 1
father 6
fear 1
feels 2
fell 1
fever 1
few 1
finally 3
finds 6
finished 1
finishes 1
first 2
flat 1
fleeing 1
flees 1
fogg 10
food 1
for 13
fortune 1
found 1
france 1
francisco 1
french 1
frequenting 1
freshman 1
friend 3
friends 1
from 6
front 1
funeral 2
furious 1
furnished 1
garbage 1
gave 1
german 1
get 2
given 1
go 2
goes 2
going 1
good 2
grandfather 1
granted 1
grave 1
gresham 1
guide 2
had 1
hallucinations 1
happen 1
has 10
have 2
having 1
he 51
help 1
helps 1
her 1
here 1
hermit 1
high 1
him 14
himself 3
hired 2
his 33
history 1
hits 1
home 1
hosts 1
house 1
i 3
identity 1
ill 1
in 23
indian 1
inherits 2
inner 1
into 2
introvert 1
invited 1
is 24
job 4
join 1
journey 2
julian 3
kills 1
kitty 8
knew 1
know 3
lamp 1
later 2
learn 1
learns 5
leave 3
leaves 1
leaving 2
left 2
let 2
life 4
little 1
live 2
living 2
lonely 1
look 1
looking 1
lose 2
loses 2
lost 1
love 1
lying 1
main 2
makes 2
man 2
manages 1
manhattan 2
marco 28
married 1
meets 4
mental 1
middle 1
middleclass 1
mistakes 1
money 6
months 1
most 1
mother 2
moved 1
moves 2
ms 1
much 1
must 1
my 1
name 1
nazis 1
never 1
new 4
newspapers 1
next 1
nine 1
no 1
nor 1
not 2
nothing 1
obituary 1
of 20
off 1
offer 1
officially 1
old 4
on 5
one 5
only 1
order 1
orphan 1
other 1
out 3
outer 1
outside 1
own 2
paint 1
painter 3
paraplegic 1
parents 1
park 5
pattern 1
pay 1
paying 1
period 1
persuades 1
physical 2
place 2
pocahontas 1
poor 1
precisely 1
pregnant 1
pressure 1
previous 1
problem 1
rain 1
raises 1
rated 1
reaches 1
reading 3
realizes 1
recover 1
relationship 1
rents 1
rescued 1
restores 1
retires 1
rich 1
romance 1
room 1
run 1
rushes 1
san 1
school 1
scoresby 1
search 1
searches 1
see 1
seeks 2
seems 1
sees 1
self 1
selling 1
set 1
she 2
shelter 2
shortly 1
should 1
shower 1
similar 1
sinks 1
so 3
solitude 1
solomon 2
some 4
someone 2
son 4
spending 1
spends 1
stanley 1
start 1
starts 1
starvation 1
state 1
stay 2
still 1
stops 1
strange 1
strangers 1
street 2
streets 2
strong 1
students 1
such 1
survive 1
takes 2
taking 3
teach 1
tells 3
that 7
the 48
their 1
then 1
there 2
they 2
things 2
thinks 1
thirteen 1
this 3
thomas 3
through 2
thrown 1
time 3
to 46
together 1
told 1
topographer 1
touch 3
town 1
track 1
translation 2
travels 1
tries 1
truth 1
typical 1
uncle 7
unfit 1
unhealthy 1
university 1
until 1
up 2
us 1
usa 1
used 1
uses 1
utah 1
vast 1
very 6
victor 7
visitors 1
was 2
way 2
weather 2
weeks 1
weight 1
went 1
westlawn 1
what 1
wheelchair 1
when 7
where 7
which 4
while 2
who 6
whole 1
whom 1
why 1
wild 1
with 9
without 1
word 1
work 2
world 2
write 1
wu 6
year 1
years 2
york 3
zimmer 9
