224528
/m/01gq6p
/m/01gq6p
Elizabeth Gaskell

a 3
and 3
at 1
book 1
brother 1
cheshire 1
closely 1
cranford 2
deborah 1
episodes 1
event 1
fictional 1
friends 1
gaskell 1
has 1
her 1
in 5
is 4
itself 1
knew 1
knutsford 1
leaving 1
little 1
lives 1
longlost 1
lowkey 1
major 1
mary 1
matty 1
minor 1
miss 2
modelled 1
more 1
mrs 1
novel 1
of 7
on 1
only 1
peter 1
plot 1
portion 1
rest 1
return 1
series 1
sisters 1
smith 1
spinster 1
story 1
the 10
their 1
to 1
tone 1
town 1
two 1
way 1
well 1
which 2
work 1
