512677
/m/02k6k5
/m/02k6k5
Isaac Asimov
1958-09
a 6
acquired 1
all 1
an 2
ancient 1
and 6
animal 1
apeboy 1
appearance 1
area 1
as 3
at 1
attempts 1
be 2
because 1
begins 1
being 1
best 1
boy 1
bringing 1
brings 1
brought 1
but 2
by 2
cannot 1
care 1
child 2
childhood 1
children 1
circumstance 1
come 1
comes 1
conclusion 1
conflict 1
could 2
day 1
decides 1
decision 1
dependencies 1
despite 1
edith 2
employer 2
energy 1
engaged 1
enraged 1
ensure 1
eventually 1
exacted 1
experimental 1
experiments 1
facilities 1
fails 1
far 1
fellowes 2
fights 1
first 1
for 2
from 2
gotten 1
has 3
having 1
he 5
her 4
him 5
his 5
human 1
imagined 1
immediate 1
inc 1
initially 1
intelligent 1
into 2
involves 1
is 6
knowing 1
knowledge 1
learns 1
loss 1
love 2
medieval 1
miss 1
modern 1
more 2
move 1
names 1
neanderthal 1
necessitates 1
newspapers 1
next 1
not 1
now 1
nurse 1
of 6
on 1
organization 2
out 1
own 2
paradoxes 1
past 1
peasant 1
plan 1
possible 1
present 2
project 1
publicity 1
realizes 1
refer 1
regard 1
removed 1
repelled 1
research 1
result 2
return 1
returns 1
she 6
smuggle 1
soon 1
speech 1
stasis 1
survive 1
take 1
than 2
that 7
the 14
this 1
time 4
timmie 5
to 12
travel 1
vast 1
when 2
which 2
whom 1
with 2
would 1
