89960
/m/0md8t
/m/0md8t
Eric Idle
2000-10-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01z4y": "Comedy", "/m/02xlf": "Fiction"}
24th 1
25th 1
a 7
action 1
adventures 1
alex 1
an 1
and 8
as 1
ashby 1
attempts 1
been 1
believes 1
bill 1
by 1
carlton 4
caught 1
centuries 1
circuit 1
close 1
colonised 1
comedians 1
comedy 3
crisis 1
describe 1
developing 1
disasters 1
discipline 1
discovers 1
dissertation 1
during 2
entertainers 1
fame 1
fictitious 1
follows 1
for 1
formula 1
from 1
get 1
has 1
his 3
human 1
humor 1
in 5
including 1
interplanetary 1
is 2
laughter 1
law 1
lewis 1
loss 1
mathematical 1
micropaloentology 1
most 1
muscroft 1
nature 1
novel 2
of 7
on 3
other 1
owners 1
parental 1
point 1
professor 1
refugee 1
research 1
responsibility 1
reynolds 3
robotic 1
scholar 1
scrapes 1
secretary 1
seeks 1
series 1
set 1
solar 1
standup 1
submitted 1
system 1
terrorists 1
the 9
theories 1
thesis 1
this 3
time 2
to 2
told 1
trio 1
two 1
understand 1
up 1
view 1
was 1
when 2
with 1
work 1
writing 1
