31788925
/m/0gtxz1f
/m/0gtxz1f
Steven Brust

{"/m/01hmnh": "Fantasy"}
a 8
adrilhanka 1
after 1
all 1
an 3
and 8
as 3
attempt 1
author 1
be 1
book 1
but 2
by 2
career 1
cawti 1
certain 1
character 1
characters 1
chronologically 1
contacted 1
countess 1
defeat 1
detected 1
distinct 1
draw 1
each 1
early 1
empire 1
epilogue 1
events 1
exwife 1
fictional 1
first 2
follows 2
from 1
he 1
highranking 1
highwayman 1
himself 1
his 1
house 1
impending 1
in 4
interludes 1
invasion 1
investigates 1
involve 1
is 8
it 2
jenoine 1
jhereg 2
khaavren 4
larger 1
later 1
life 1
mainly 2
may 1
money 1
most 1
mother 1
much 1
multiple 1
narrator 1
of 10
on 2
ones 1
out 1
paarfi 1
parts 1
person 1
prelude 1
presented 1
recent 1
rogue 1
romances 1
run 1
ruse 1
scheme 1
second 1
section 3
sections 1
set 1
silver 1
smaller 1
some 1
special 1
statue 1
stolen 1
story 2
style 1
tag 1
taltos 1
tasks 1
tells 2
the 20
third 1
three 2
tiassa 2
to 3
track 1
typical 1
viscount 2
vlad 6
voice 1
whitecrest 2
who 1
wife 1
with 1
written 1
