395880
/m/0238zr
/m/0238zr
James Ellroy
1987-09
143 1
146 1
147 1
15 1
3th 1
a 26
abandoned 1
about 1
acts 1
affair 1
after 3
against 2
also 2
american 1
an 4
and 27
angeles 1
apprehend 1
are 1
artist 1
as 7
assignment 1
associated 1
at 1
avenue 1
bar 1
be 1
becomes 1
becoming 1
begin 2
begins 1
behind 1
bet 1
between 1
bezadrine 1
black 1
blanchard 3
bleichert 3
blowing 1
body 1
bond 1
boston 1
boxer 1
boxers 1
boxing 1
breaking 1
buckey 1
bucky 8
bunker 1
bureau 1
businessman 1
by 1
can 1
car 1
career 1
case 4
caught 1
circus 1
clown 1
clues 1
collecting 1
comes 1
commotion 1
confrontation 1
connection 1
continues 3
control 1
copies 1
cops 1
corner 1
course 1
criminal 1
curiosity 1
da 1
dahlia 2
decides 1
demotion 1
department 1
destroyed 1
destroys 1
detached 1
detective 1
deteriorating 1
disappearance 1
disappears 1
discover 1
discovers 1
division 2
don 1
dubbed 1
during 3
dwight 2
each 1
el 1
elizabeth 3
emotionally 1
ends 1
erratically 1
especially 1
eventually 3
evidence 1
failing 1
family 2
fashion 1
fate 1
father 1
fathers 1
fight 3
finally 1
finds 1
follows 1
for 4
force 1
former 2
friend 1
from 1
gangs 1
happens 1
hard 1
have 1
he 11
health 1
help 1
her 3
hill 1
him 2
his 15
hits 1
home 2
homicidewarrants 1
hopes 1
hotel 1
in 12
investigation 3
invited 1
is 6
issue 1
it 1
its 2
january 1
job 1
juggling 1
june 1
kay 6
la 2
lab 1
lake 1
lapd 1
later 1
learns 1
leaves 1
lee 11
lesbian 1
life 1
lives 1
los 1
lose 1
lot 1
madeleine 1
madeline 3
make 1
many 1
marriage 1
marry 1
match 1
meets 1
member 1
mexican 1
middle 1
millard 1
money 1
more 1
mundane 1
murder 1
mutilated 1
mysterious 1
named 1
nights 1
nino 1
norton 1
notice 1
novel 1
november 1
observes 1
obsession 2
of 16
offer 1
officer 2
old 1
on 6
other 1
out 4
over 1
overwhelms 1
own 1
painting 1
partnered 1
pass 1
patrol 1
patrolman 1
pay 1
people 1
personal 1
piquing 1
plane 1
plans 1
police 2
political 1
pregnant 1
press 1
promiscuous 1
promoted 1
prove 1
public 1
purpose 1
put 1
questionning 1
quickly 1
radio 1
raise 2
rampage 1
realizing 1
rebuild 1
refuge 1
relationship 2
relationships 1
rescue 1
resembles 1
resulting 1
retirement 1
returns 1
reward 1
riot 1
riots 1
romantic 1
room 1
russ 1
santos 1
science 1
searching 1
section 1
see 1
sergeant 1
series 1
servicemen 1
setbacks 1
sets 1
she 1
shocks 1
short 5
simultaneously 1
size 1
socialite 1
some 1
south 1
spend 1
spirals 1
sprague 3
stakeout 1
still 1
storing 1
story 1
street 1
suffers 1
suicide 1
suit 2
superiors 1
supervisor 1
support 1
take 2
taking 2
technician 1
tells 1
tension 1
that 1
the 29
their 1
them 1
then 1
they 4
three 1
tijuana 1
time 1
to 16
together 2
toll 1
transferred 1
transfers 1
trip 1
truth 1
try 1
two 3
uncovers 1
up 4
waiting 1
wanted 1
warrants 1
wealthy 2
well 1
when 1
where 2
while 5
who 5
will 2
with 12
woman 1
working 1
years 2
young 1
zoot 2
