18133738
/m/04ctzxf
/m/04ctzxf
Gao Xingjian
1990
{"/m/02xlf": "Fiction"}
131 1
230 1
3280 1
3381 1
52 1
a 22
academic 1
add 1
after 1
age 1
also 2
alter 1
an 2
and 12
another 1
anxieties 1
are 1
as 6
authentic 1
backpack 1
backpacking 1
bank 1
be 3
become 1
becomes 1
been 1
break 1
but 2
cancer 1
chapter 1
chapters 4
character 3
characters 3
city 1
comfortable 1
concept 1
craves 1
departs 1
described 1
despite 1
dream 1
during 1
egos 1
elusive 1
emotional 1
erotic 1
essentially 1
evennumbered 2
every 1
existence 2
explores 1
father 1
featuring 1
find 1
first 1
for 5
from 2
generation 1
has 1
having 1
he 6
his 1
home 1
human 1
humanity 1
husband 1
i 4
idea 2
if 2
in 7
includes 1
into 1
introduced 1
inwards 1
is 6
it 1
its 1
job 1
journey 2
known 1
later 1
left 1
life 2
lingshan 1
little 1
lived 1
local 1
long 1
looking 1
lung 1
main 1
meaning 1
meanwhile 1
mediocre 1
meets 1
misdiagnosed 1
money 1
month 1
mountain 2
next 1
nottoodemanding 1
novel 1
occupies 1
oddnumbered 2
of 12
old 1
one 2
only 1
opposite 1
out 2
over 1
past 1
peaceful 1
persona 1
position 1
powers 1
put 1
quest 1
real 1
realizes 1
relationship 1
revealed 2
rural 1
sacred 1
same 2
seeks 1
sense 1
sensible 1
set 1
settling 1
she 2
shoes 1
shoulder 1
shuns 1
sichuan 1
sides 1
so 2
society 1
something 1
sort 2
soul 1
sports 1
stable 1
start 1
state 1
stay 1
still 1
story 2
storyteller 1
straps 1
strong 1
take 1
terminal 1
that 4
the 19
their 1
therell 1
they 1
to 6
tourist 1
touristnot 1
travels 2
troubled 1
turn 1
two 3
twopart 1
up 2
wanderer 1
wants 2
warmth 1
wearing 1
where 1
while 1
who 2
with 2
writer 1
yearns 1
you 8
