4286723
/m/0bv5g_
/m/0bv5g_
Vonda McIntyre

a 4
after 1
an 2
anakin 1
and 5
are 2
area 1
around 1
as 1
beforehand 1
but 1
by 1
chewbacca 1
children 3
codro 1
connected 1
continues 1
could 1
crseih 2
crystal 3
cult 1
days 1
destroy 1
dispatches 1
empire 2
events 2
eventually 1
existence 1
explodes 1
for 1
galactic 1
go 1
han 2
he 1
hethrir 4
immediately 1
influences 1
intense 1
is 2
jacen 1
jaina 1
kidnapped 1
killed 1
leads 1
learn 1
leia 3
looking 1
luke 2
man 1
manage 1
manipulate 1
meanwhile 1
mother 1
moves 1
munto 1
named 1
of 4
on 2
operation 1
organa 1
organization 1
out 1
possibly 1
reborn 1
rescue 2
resurrect 1
safe 1
secret 1
series 1
several 1
skywalker 1
solo 2
star 3
station 2
still 1
supposed 1
that 2
the 12
their 1
to 5
transpire 1
universe 1
vacation 1
very 1
which 1
