5009235
/m/0czngr
/m/0czngr
Camillo Boito


1866 1
3th 1
a 13
abandon 1
about 2
abuse 1
accepting 1
affair 2
after 1
all 1
allowed 1
although 1
an 2
and 10
any 1
apart 1
apartment 1
aristocrat 1
army 3
arrives 1
asks 2
attends 1
austria 1
austrian 2
battlefield 1
birthday 1
boards 1
bothering 1
bought 1
bribe 1
bribed 1
bribery 1
but 1
by 1
cares 1
carriage 1
child 1
city 1
clutching 1
combat 1
company 1
complete 1
countess 1
cowardice 1
dashing 1
dead 1
desertion 1
doctors 2
driven 1
drives 3
drowning 1
drunken 1
during 1
evade 1
even 1
eventually 1
everywhere 1
execution 1
exemption 1
face 1
falls 1
feels 1
few 1
finally 1
find 1
finds 3
firing 1
first 1
flees 1
for 8
freely 1
from 2
general 2
gives 1
gladly 1
gold 1
goodbye 1
had 2
has 1
he 6
headquarters 1
heads 2
her 21
herself 1
him 7
his 6
ignores 1
in 7
indicts 1
infidelity 1
into 3
is 5
italian 1
italy 1
its 1
jewels 1
joins 1
kiss 1
lend 1
lets 1
letter 4
lieutenant 1
lingering 1
livia 14
look 1
love 1
lover 3
lovers 1
loves 1
loyal 1
lust 1
mad 1
married 1
misses 1
mocks 1
money 4
more 1
morning 1
mortification 1
motives 1
nearly 1
new 1
next 1
night 1
no 1
not 1
nothing 1
obvious 1
obviously 1
of 6
old 1
on 1
openly 1
opens 1
out 1
passionate 1
pathetic 1
philandering 1
presenting 1
promptly 1
proof 1
prostitute 1
protagonist 1
refuses 1
remembers 1
remigio 9
reminiscing 1
reprieve 1
rescue 1
response 1
reverie 1
revisit 1
rogue 1
ruins 1
ruz 1
says 1
senso 1
set 1
sexual 1
shame 1
shapes 1
she 9
soar 1
social 1
society 1
spend 1
spirits 1
squad 1
status 1
still 2
story 1
straight 1
stuffy 1
that 2
the 18
thinks 1
though 1
throws 1
time 1
to 15
transports 1
truly 1
tryst 1
undeterred 1
ungrateful 1
unhappily 1
us 1
using 1
vengeance 2
venice 1
verona 2
very 1
wanders 1
war 4
what 1
when 4
where 3
while 1
who 3
willingly 1
with 5
without 1
wounded 1
yearning 1
yearnings 1
years 1
yet 1
young 1
