13519605
/m/03c8070
/m/03c8070
Cornelia Funke

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 2
against 1
all 1
an 1
and 9
angels 2
are 3
as 1
banned 1
being 1
ben 1
bunch 1
charlotte 2
children 1
chocolate 2
christmas 1
council 2
dog 1
elves 2
emerges 1
emmanuel 1
forces 1
from 2
gerold 1
geronimus 1
go 2
goblynch 1
goodfellow 1
great 1
he 1
hiding 1
humorous 1
into 3
invisible 1
join 1
last 1
leads 1
magical 1
matilda 1
mutt 1
named 2
niklas 2
of 2
old 1
outlaws 1
policies 1
real 1
reindeer 2
replace 1
santa 2
santas 1
save 1
snowmobiles 1
spirited 1
the 4
these 1
thus 1
to 2
turned 2
two 2
ways 1
who 1
young 1
