24158561
/m/07kclvh
/m/07kclvh
John Irving
2009-10-27
12year 1
154 1
167 1
170 2
183 1
187 1
2001 1
3a 2
a 17
abortion 1
about 1
above 1
accident 3
advice 2
affair 1
after 3
again 1
agrees 1
all 1
also 2
amy 5
an 5
and 39
androscoggin 1
angel 6
another 4
apply 1
april 2
are 2
arrives 1
art 1
as 4
at 7
attacking 1
attends 1
au 1
awestruck 1
baciagalupo 1
back 1
badtempered 1
bangor 1
baril 1
based 1
bay 1
be 1
bear 1
beat 1
became 2
been 1
believe 1
blown 1
body 1
book 2
boston 2
both 1
boulder 1
broke 1
but 2
by 4
cabin 1
callahan 1
called 1
camp 1
canadian 2
cannot 1
car 1
careless 1
carl 11
case 1
castiron 1
changes 4
charlotte 3
child 1
claimed 1
college 1
colorado 1
constable 1
continues 1
cook 2
cookie 1
could 1
cover 1
dancing 1
daniel 10
danny 20
de 1
death 1
decide 1
decides 1
deferment 6
defermentpaternity 1
del 1
deposits 1
devastated 1
dies 1
dishwasher 1
dominic 14
doorstep 1
down 1
draftees 1
driving 1
drunk 2
during 1
early 1
east 1
eight 1
eightinch 1
enabling 1
end 3
enrolls 1
event 1
ever 1
exeter 1
face 1
failed 1
famous 1
farm 1
father 4
fathers 5
fatherssss 1
fell 1
fifteen 1
find 1
finds 3
first 1
flee 2
floor 1
focus 1
focuses 1
followed 1
followup 1
for 10
forced 1
fourth 1
friend 2
friends 1
from 5
frozen 1
georgian 1
gets 2
girlfriend 1
graduates 1
graduating 1
had 2
hampshire 3
happened 2
happens 1
happy 1
has 3
have 2
having 3
he 12
head 1
help 1
her 6
hesitated 1
hide 2
him 1
his 21
hope 1
house 2
ice 1
in 26
injun 1
iowa 2
is 7
island 1
it 2
italian 1
italianamerican 1
jane 2
job 1
joe 10
join 1
just 1
katie 5
keeps 1
kennedy 3
ketchum 8
killed 1
killing 1
kills 2
kitchen 3
knowing 1
known 2
lady 2
last 1
later 2
law 1
leads 1
leaves 2
letters 1
life 3
lives 2
local 1
log 1
logger 2
logging 1
logs 1
lonely 1
long 1
looking 1
losing 1
lost 2
make 1
man 1
marry 2
meal 1
meets 2
men 2
misfortunes 1
mission 1
mistaking 1
more 1
morning 1
most 1
mother 3
move 1
moves 2
mutual 1
naked 1
name 2
named 1
names 1
nbnb 1
needed 1
new 6
next 2
night 1
nixon 2
nom 1
north 1
northern 1
not 1
novel 4
novels 2
now 2
of 16
offered 1
officer 1
often 1
old 1
on 11
one 2
only 1
onto 1
opening 1
opens 2
original 1
out 2
own 2
owned 1
parachuted 1
part 1
passed 1
passing 1
paternity 4
pen 1
pig 2
plume 1
pointe 1
popolo 1
possibility 1
potential 1
president 2
previous 1
previously 1
private 1
probably 1
protect 1
pseudonym 1
publication 1
publish 1
put 2
putney 1
qualified 2
radical 1
read 1
really 1
recognize 1
remains 1
rescue 1
rescued 1
restaurant 5
retains 1
retaliates 1
revert 1
right 1
river 7
rosie 3
runs 1
sawmill 1
school 1
screenplay 1
screenwriter 1
semiautobiographical 1
sentence 1
settlement 1
shooting 1
shoots 1
skillet 1
sky 2
slipped 1
small 1
son 5
southern 1
starts 1
states 1
still 1
stop 1
stops 1
student 1
successful 1
surname 2
takes 2
teaches 1
teaching 1
telephone 1
tell 3
ten 1
than 1
that 3
the 37
their 3
them 3
then 2
they 2
this 6
through 1
thus 1
time 2
to 28
tony 5
too 1
toronto 2
touch 1
tracks 1
tries 1
turn 1
turner 1
twisted 4
two 3
under 3
united 1
university 3
unwittingly 1
up 1
uses 2
vermont 3
via 1
vietnam 1
visiting 1
war 2
warns 1
was 1
ways 1
went 1
were 2
what 2
when 4
whenever 1
where 2
which 1
while 4
who 7
whom 1
wife 1
will 2
windham 1
with 7
wives 1
work 1
workshop 2
writer 2
writers 2
writing 7
years 1
young 3
