3688015
/m/09vhvm
/m/09vhvm
Diane Duane
2001
a 6
able 4
about 1
aid 1
all 1
also 1
and 6
anticipated 1
area 1
as 2
at 1
be 3
begins 2
behind 1
body 2
brain 1
bringing 1
but 1
by 1
callahan 1
can 1
cancer 2
chooses 1
control 1
create 1
creates 1
cure 1
dangerous 1
deal 1
decides 1
defeat 1
describes 1
discovers 1
discusses 1
dog 1
down 1
eliminate 1
end 1
enter 1
enters 1
except 1
explore 1
extending 1
falls 1
fight 1
finds 1
for 4
gloating 1
he 1
help 1
helps 1
her 13
herself 1
his 2
hospital 1
if 1
ill 1
in 10
inlet 1
is 8
it 2
join 1
jones 1
kernel 2
kernels 1
kill 1
kit 5
leading 1
leaving 1
left 1
life 5
live 1
lone 4
lot 1
love 1
magical 1
making 2
matter 1
may 1
meantime 1
meanwhile 1
meets 1
might 1
mother 7
mrs 1
named 1
nita 8
nothing 2
of 6
on 1
order 2
out 3
overshadowed 1
own 1
path 1
pollution 1
ponch 2
possibilities 1
power 4
practice 1
practicing 1
pralaya 2
process 1
prospect 1
realizes 1
reflects 1
research 1
save 1
saving 1
search 1
she 8
so 1
software 1
solution 1
start 2
starting 1
still 1
surgery 1
surrounding 1
take 1
taken 1
that 4
the 18
them 1
then 1
they 1
to 22
together 1
try 1
tumor 1
unable 1
undo 1
universes 2
using 1
victory 1
was 1
well 1
were 1
what 1
where 1
which 1
while 3
who 2
with 5
wizard 2
work 2
would 2
