5429764
/m/0dlhfy
/m/0dlhfy
L. Sprague de Camp
1958
{"/m/0hwxm": "Historical novel"}
a 8
about 1
adventures 1
adventurous 1
alexander 3
an 5
ancient 1
and 3
animal 1
apparently 1
archrival 1
are 1
aristotle 3
as 1
athens 2
atrax 1
bandits 1
been 1
bring 1
but 2
by 2
captured 1
care 1
cavalry 1
charge 1
circumstances 1
come 1
commander 1
commanders 1
concerns 1
concocted 1
contact 1
creature 1
crew 1
cross 1
description 1
doesnt 1
elephant 4
elephantarch 1
enterprise 1
essentially 1
eyewitness 1
fact 1
for 3
former 1
founded 1
frequent 1
from 2
funds 2
gifts 1
goal 1
great 1
greek 1
has 1
have 1
he 2
help 1
his 1
ideas 1
in 1
include 1
includes 1
indian 3
indus 1
into 1
involving 1
is 3
it 1
its 1
journey 1
known 1
leading 1
leon 2
long 1
macedonian 1
malicious 1
might 1
motley 1
no 2
noblemen 1
noblewoman 1
novel 1
of 6
old 1
on 2
out 1
own 1
persian 2
philosopher 1
porus 1
prank 1
present 1
river 1
ruler 1
runaway 1
savant 1
sending 1
sets 1
skirmishes 1
story 1
such 1
sutler 1
syrian 1
tasked 1
teacher 1
that 3
the 17
their 1
thessalian 1
though 1
to 6
tutor 1
under 1
unknown 1
unruly 1
upkeep 1
warrior 1
which 1
while 1
who 2
whole 2
with 4
world 1
writings 1
xenocrates 1
