79569
/m/0knzs
/m/0knzs
Len Deighton
1978-08-24
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction"}
141 1
a 24
able 1
about 1
abwehr 2
act 1
after 1
against 1
agent 1
agree 1
agreement 1
aiding 1
also 3
ambush 1
america 1
american 2
americans 2
an 16
and 15
apartment 1
appears 2
archer 21
arm 3
army 2
around 1
arrested 1
arrests 1
arrival 1
arrives 3
artificial 1
as 7
assault 1
assigned 1
assures 1
at 1
atomic 4
attack 2
attempt 1
attention 1
avoid 1
away 1
back 2
barbara 1
barga 1
be 2
before 3
berkshire 1
between 2
body 3
bomb 5
boss 1
bribing 1
bring 1
bringle 1
britain 2
british 4
brother 3
but 1
by 8
called 1
camp 2
can 3
capsule 1
capturing 1
case 1
cemetery 1
charge 1
clue 1
colonel 1
comes 1
commits 1
compromises 1
condition 1
confesses 1
conspiring 1
convict 1
cyanide 1
dangers 1
day 2
dead 1
death 2
declares 1
deduced 1
depart 1
designed 1
destroying 2
detective 3
develop 1
developing 1
develops 1
discovers 2
disrupted 1
douglas 1
dozens 1
draws 1
during 1
dying 1
elbow 1
england 1
english 1
equations 1
escape 1
escaping 1
escorting 1
evidence 1
execution 1
exhumation 1
facility 2
fighting 1
final 1
find 1
finds 2
first 2
following 2
follows 1
for 5
force 2
forces 1
forewarned 1
form 1
former 1
free 2
freed 1
friend 1
friendship 1
fritz 1
from 2
george 1
german 7
germans 1
germansoviet 1
germany 1
get 1
getting 1
got 1
government 1
great 1
gruppenfhrer 1
guarding 1
gunshot 1
harry 1
has 4
he 7
head 1
highest 1
highgate 1
highlevel 1
him 7
himself 2
his 8
homicide 1
honourable 1
house 1
humiliate 1
huth 8
in 23
incarceration 1
incident 1
including 1
increasing 1
ingesting 1
injury 1
inmates 1
interest 1
invalid 1
invasion 3
investigate 1
investigation 2
involved 2
is 9
it 1
john 1
karl 1
kellerman 4
key 1
killed 1
kills 1
king 9
laments 1
law 1
leads 1
learning 1
learns 1
led 1
levels 1
limbs 1
london 3
lost 1
man 2
manoeuvrings 1
manor 1
marines 1
market 1
martial 1
marx 1
material 1
mayhew 6
meeting 1
member 2
men 1
met 1
middle 1
military 1
months 1
most 1
movement 1
murder 3
murdered 1
murderer 1
mystery 1
named 1
nazi 1
ndash 1
nearly 1
negotiate 1
neutral 1
next 1
nine 1
november 1
of 28
officer 1
officials 1
on 2
one 1
only 1
operation 1
organization 1
organizing 1
oskar 1
out 4
over 1
part 2
particular 1
partner 1
people 2
personnel 1
photographed 1
physicist 1
pivot 1
poisoning 1
police 1
political 1
power 1
preparing 1
prison 1
prisonerofwar 1
proceeds 1
produce 1
project 1
public 1
puzzled 1
quietly 1
radiation 1
readily 1
real 1
reason 1
relationship 1
release 1
replacement 1
reporter 1
research 2
resistance 3
response 1
result 1
results 1
return 1
reveals 1
right 1
romantic 1
sands 1
scene 1
scotland 1
secret 1
secretly 1
secrets 1
secures 1
sergeant 1
set 1
shepherd 1
shooting 1
site 1
so 1
soldiers 1
soon 3
spirit 1
spode 9
ss 2
standartenfhrer 1
statement 1
states 2
struggle 1
subordinate 1
succeed 1
succeeds 2
suffered 1
suicide 1
sunburn 1
superintendent 1
supervise 1
surprise 1
surrender 1
take 3
taking 1
team 1
that 12
the 62
them 1
there 1
they 2
this 1
though 6
thousands 1
to 25
top 1
tower 2
travels 2
two 2
undeterred 1
united 2
use 1
veterans 1
wanted 1
wants 1
war 2
was 7
week 1
well 1
welldressed 1
what 3
where 2
which 3
while 1
who 7
whom 2
will 4
william 2
with 9
witness 1
woods 5
worked 1
working 1
would 1
wounded 1
wounds 1
yard 1
