28940217
/m/0dgqx10
/m/0dgqx10
Eldred Nathaniel Woodcock

{"/m/05h83": "Non-fiction"}
1855105 1
a 1
about 1
also 1
ammunition 1
an 1
and 15
are 1
area 1
as 1
author 1
baits 1
based 1
bear 2
bee 1
book 1
books 1
bounties 1
building 2
cabins 1
camp 2
camping 1
camps 1
cat 1
collection 1
conservation 1
cooking 1
county 1
deadfalls 1
deer 1
drying 1
during 1
e 2
eldred 1
everyday 1
experiences 1
feature 1
fifty 1
finding 1
fires 1
fishing 1
for 1
forests 1
fox 1
from 1
fur 1
game 2
gives 1
guns 1
happened 2
harding 1
he 4
himself 1
his 5
hives 1
hunting 2
in 3
incidents 1
includes 1
information 1
interesting 1
language 1
laws 1
life 2
lived 1
local 1
made 1
many 1
marten 1
memory 1
mink 1
mishaps 1
most 1
mr 1
muskrat 1
n 2
nathaniel 1
need 1
northern 1
now 1
occurrences 1
of 10
on 3
one 1
opinion 1
other 2
outdoor 1
pard 1
parks 1
partner 1
partners 1
pennsylvania 2
people 1
places 1
plain 1
pleasure 1
porcupines 1
potter 1
practical 1
profit 1
real 1
refers 1
runins 1
sets 1
several 1
skinning 1
skunks 1
sometimes 1
spent 1
state 2
states 1
staying 1
stories 3
stretching 1
tells 2
that 2
the 9
to 2
tracking 1
trap 1
trapping 2
types 1
using 1
views 1
warm 1
where 1
who 2
wild 2
wilderness 1
with 1
woodcock 4
writing 1
years 1
