10007424
/m/02pzmw_
/m/02pzmw_
Jeff Quinn

{"/m/06c9r": "Role-playing game"}
abandoned 2
ago 1
an 2
and 1
are 1
bandits 1
barricaded 1
but 1
courses 1
curse 1
deliberately 1
discovered 1
evil 1
family 2
for 1
founders 1
gannu 2
generations 1
get 1
goblin 1
goblins 1
have 1
idylls 1
in 2
is 1
it 1
its 1
king 1
levels 1
lowest 1
mine 2
must 1
no 2
northwest 1
of 5
on 1
ordinary 2
rat 1
residence 1
rid 1
silverton 2
someone 1
taken 1
the 4
their 1
them 1
these 1
this 1
through 1
unspeakable 1
up 1
veins 1
was 1
when 1
