1107288
/m/046ldp
/m/046ldp
Toni Morrison
1977
{"/m/02xlf": "Fiction"}
a 11
accidentally 1
accompanies 1
administrative 1
africa 1
after 5
age 2
agent 1
aggressive 1
almost 1
ambiguous 1
an 3
ancestor 1
and 14
are 1
as 3
at 4
attempting 1
attempts 1
back 2
be 1
because 1
bed 1
bedside 1
behind 1
being 2
believes 1
best 2
between 2
bible 1
black 1
blacks 1
body 1
born 1
both 1
boy 1
breastfed 2
brings 1
broken 1
but 1
butler 1
butlers 1
by 5
called 1
can 1
character 3
cheated 1
childhood 1
children 1
christin 1
circe 1
circle 1
claim 1
claims 1
clear 1
conflicting 1
contrast 2
cope 1
corinthians 1
crazy 1
daughter 2
daughters 1
days 1
dead 5
dealt 1
derives 1
desperately 1
diaper 1
died 2
dies 1
different 1
difficult 1
direct 1
divinea 1
doctor 2
does 1
during 1
early 1
earth 1
either 1
elastic 1
eldest 1
embraced 1
employee 1
end 2
error 1
erstwhile 1
escaped 1
event 1
explicitly 1
expose 1
exposing 1
exslave 1
fact 1
falls 1
family 3
farm 2
father 11
fatherless 1
feel 1
female 1
fend 1
fingers 1
first 2
flight 2
fly 1
flying 1
for 5
forgets 1
former 1
fortune 1
foster 2
found 1
freddie 1
friend 2
from 4
full 1
fund 1
future 1
gains 1
goes 1
gold 2
granddaughter 1
grandfather 1
greatgrandfather 1
group 1
growing 1
guitar 4
had 3
hagar 4
happens 1
has 8
have 2
he 14
heart 1
help 1
her 12
here 1
herself 1
hidden 1
highly 1
him 5
his 16
history 1
home 2
however 1
husband 3
idolized 1
iii 1
illness 1
implied 1
impossible 1
in 9
inadequate 1
incorrectly 1
inferred 1
instead 1
insurance 1
intended 1
involved 1
is 16
it 4
jr 3
kill 4
killed 3
killings 2
kissing 1
kneeling 1
later 2
leads 1
leap 1
leaps 1
learns 3
least 1
leaving 1
lena 1
like 2
loss 1
love 2
loved 1
macon 8
magdelene 1
makes 1
mansion 1
meets 1
milkman 19
momma 1
money 1
more 2
morrison 1
mother 4
motherless 1
murder 1
mystical 1
name 2
named 3
navel 1
near 1
nickname 1
not 4
novel 2
nurturingan 1
obsession 1
obsessively 1
obtain 1
occasion 1
of 18
often 1
old 2
on 1
once 1
one 1
only 3
or 2
out 1
own 1
pants 1
parents 1
part 1
past 1
pennsylvania 1
people 1
pilate 4
pin 1
planned 1
point 1
problems 1
protagonist 1
punches 1
putting 1
quickly 1
rather 1
reba 1
register 1
rejection 1
remained 1
reputation 1
response 1
result 1
returning 1
revenge 1
rift 1
robert 1
rotting 1
ruth 3
ryna 1
said 1
searching 1
see 1
seen 1
seven 1
sexually 1
shalimar 2
she 10
shot 1
show 2
sister 2
sisters 1
six 1
slavery 2
smith 1
solomon 1
somewhat 1
son 2
spite 1
spoken 1
stated 1
still 1
stops 1
stories 1
strikes 1
strongly 1
subsequent 1
sucking 1
suggesting 1
suicidal 1
supernaturally 1
suspecting 1
tells 2
than 3
that 10
the 32
their 2
there 1
these 1
think 1
this 2
through 1
times 1
to 25
towards 2
town 2
tries 1
truth 1
twentyone 1
two 1
unable 1
unaffected 1
use 1
violently 1
was 7
way 2
wearing 1
when 1
where 1
which 2
while 1
who 6
wife 1
window 1
with 7
without 1
years 1
young 1
